,s,Senario ID,Senario type,RT1,R,sex,age,theta,beta,alpha,beta_s
1,1,12,AGE+GENDER,8.115,1,0,0,0,0,0,3
2,1,10,GENDER,10.381,0,0,0,0,0,0,3
3,1,9,AGE+GENDER,6.549,1,0,0,0,0,0,3
4,1,7,AGE+GENDER,5.532,0,0,0,0,0,0,3
5,1,15,GENDER,5.896,1,0,0,0,0,0,3
6,1,1,GENDER,4.548,1,0,0,0,0,0,3
7,1,2,AGE+GENDER,3.464,1,0,0,0,0,0,3
8,1,4,AGE+GENDER,5.847,1,0,0,0,0,0,3
9,1,14,AGE+GENDER,1.631,0,0,0,0,0,0,3
10,1,13,AGE+GENDER,5.797,0,0,0,0,0,0,3
11,1,12,AGE+GENDER,3.882,1,0,0,0,0,0,3
12,1,1,GENDER,3.531,1,0,0,0,0,0,3
13,1,15,GENDER,4.014,1,0,0,0,0,0,3
14,1,4,AGE+GENDER,1.28,1,0,0,0,0,0,3
15,1,10,GENDER,2.547,0,0,0,0,0,0,3
16,1,14,AGE+GENDER,1.046,0,0,0,0,0,0,3
17,1,7,AGE+GENDER,3.713,0,0,0,0,0,0,3
18,1,2,AGE+GENDER,1.214,1,0,0,0,0,0,3
19,1,13,AGE+GENDER,1.731,0,0,0,0,0,0,3
20,1,9,AGE+GENDER,3.214,1,0,0,0,0,0,3
21,2,13,AGE+GENDER,3.881,0,1,0,1,1,1,1
22,2,10,GENDER,2.699,1,1,0,1,1,1,1
23,2,2,AGE+GENDER,3.098,1,1,0,1,1,1,1
24,2,12,AGE+GENDER,4.264,1,1,0,1,1,1,1
25,2,7,AGE+GENDER,1.782,0,1,0,1,1,1,1
26,2,9,AGE+GENDER,6.947,0,1,0,1,1,1,1
27,2,4,AGE+GENDER,3.865,1,1,0,1,1,1,1
28,2,14,AGE+GENDER,4.431,0,1,0,1,1,1,1
29,2,1,GENDER,2.098,1,1,0,1,1,1,1
30,2,15,GENDER,4.364,1,1,0,1,1,1,1
31,2,7,AGE+GENDER,1.881,0,1,0,1,1,1,1
32,2,14,AGE+GENDER,2.432,0,1,0,1,1,1,1
33,2,13,AGE+GENDER,2.514,0,1,0,1,1,1,1
34,2,15,GENDER,2.631,1,1,0,1,1,1,1
35,2,2,AGE+GENDER,2.815,1,1,0,1,1,1,1
36,2,10,GENDER,2.098,1,1,0,1,1,1,1
37,2,4,AGE+GENDER,3.131,1,1,0,1,1,1,1
38,2,9,AGE+GENDER,1.614,0,1,0,1,1,1,1
39,2,1,GENDER,5.198,1,1,0,1,1,1,1
40,2,12,AGE+GENDER,2.613,1,1,0,1,1,1,1
41,3,9,AGE+GENDER,3.632,1,1,0,1,1,1,3
42,3,13,AGE+GENDER,5.998,1,1,0,1,1,1,3
43,3,4,AGE+GENDER,3.597,0,1,0,1,1,1,3
44,3,12,AGE+GENDER,3.364,0,1,0,1,1,1,3
45,3,10,GENDER,9.73,1,1,0,1,1,1,3
46,3,14,AGE+GENDER,3.747,0,1,0,1,1,1,3
47,3,2,AGE+GENDER,2.998,0,1,0,1,1,1,3
48,3,15,GENDER,2.764,1,1,0,1,1,1,3
49,3,7,AGE+GENDER,3.447,1,1,0,1,1,1,3
50,3,1,GENDER,4.28,1,1,0,1,1,1,3
51,3,7,AGE+GENDER,3.031,1,1,0,1,1,1,3
52,3,15,GENDER,3.481,1,1,0,1,1,1,3
53,3,14,AGE+GENDER,2.913,0,1,0,1,1,1,3
54,3,2,AGE+GENDER,2.297,0,1,0,1,1,1,3
55,3,1,GENDER,3.214,1,1,0,1,1,1,3
56,3,10,GENDER,3.48,1,1,0,1,1,1,3
57,3,13,AGE+GENDER,8.58,1,1,0,1,1,1,3
58,3,9,AGE+GENDER,3.097,1,1,0,1,1,1,3
59,3,12,AGE+GENDER,3.547,0,1,0,1,1,1,3
60,3,4,AGE+GENDER,2.047,0,1,0,1,1,1,3
61,4,10,GENDER,3.931,0,0,0,1,1,1,3
62,4,15,GENDER,2.098,0,0,0,1,1,1,3
63,4,2,AGE+GENDER,4.348,0,0,0,1,1,1,3
64,4,13,AGE+GENDER,2.713,1,0,0,1,1,1,3
65,4,4,AGE+GENDER,1.947,1,0,0,1,1,1,3
66,4,7,AGE+GENDER,3.33,0,0,0,1,1,1,3
67,4,12,AGE+GENDER,2.513,1,0,0,1,1,1,3
68,4,1,GENDER,2.281,1,0,0,1,1,1,3
69,4,9,AGE+GENDER,2.831,1,0,0,1,1,1,3
70,4,14,AGE+GENDER,7.465,0,0,0,1,1,1,3
71,4,14,AGE+GENDER,1.281,0,0,0,1,1,1,3
72,4,10,GENDER,4.047,0,0,0,1,1,1,3
73,4,1,GENDER,5.031,1,0,0,1,1,1,3
74,4,15,GENDER,2.047,1,0,0,1,1,1,3
75,4,7,AGE+GENDER,1.531,0,0,0,1,1,1,3
76,4,2,AGE+GENDER,2.629,1,0,0,1,1,1,3
77,4,13,AGE+GENDER,1.48,0,0,0,1,1,1,3
78,4,12,AGE+GENDER,2.097,1,0,0,1,1,1,3
79,4,9,AGE+GENDER,1.914,1,0,0,1,1,1,3
80,4,4,AGE+GENDER,2.281,1,0,0,1,1,1,3
81,5,4,AGE+GENDER,12.581,1,0,0,0,0,0,0
82,5,14,AGE+GENDER,9.614,0,0,0,0,0,0,0
83,5,2,AGE+GENDER,6.198,1,0,0,0,0,0,0
84,5,1,GENDER,11.281,1,0,0,0,0,0,0
85,5,12,AGE+GENDER,8.497,1,0,0,0,0,0,0
86,5,7,AGE+GENDER,8.431,0,0,0,0,0,0,0
87,5,9,AGE+GENDER,13.479,0,0,0,0,0,0,0
88,5,14,AGE+GENDER,11.813,0,0,0,0,0,0,0
89,5,15,GENDER,6.681,0,0,0,0,0,0,0
90,5,13,AGE+GENDER,4.148,0,0,0,0,0,0,0
91,5,2,AGE+GENDER,10.247,1,0,0,0,0,0,0
92,6,1,GENDER,7.148,1,0,1,0,0,1,2
93,6,15,GENDER,7.065,1,0,1,0,0,1,2
94,6,13,AGE+GENDER,6.581,1,0,1,0,0,1,2
95,6,2,AGE+GENDER,2.665,0,0,1,0,0,1,2
96,6,14,AGE+GENDER,7.146,0,0,1,0,0,1,2
97,6,12,AGE+GENDER,3.248,0,0,1,0,0,1,2
98,6,7,AGE+GENDER,2.132,1,0,1,0,0,1,2
99,6,4,AGE+GENDER,8.698,0,0,1,0,0,1,2
100,6,10,GENDER,4.597,1,0,1,0,0,1,2
101,6,9,AGE+GENDER,2.865,1,0,1,0,0,1,2
