,s,Senario ID,Senario type,RT1,R,sex,age,theta,beta,alpha
1,1,10,GENDER,3.04,1,0,0,0,0,0
2,1,2,AGE+GENDER,4.039,0,0,0,0,0,0
3,1,1,GENDER,1.941,0,0,0,0,0,0
4,1,9,AGE+GENDER,1.618,0,0,0,0,0,0
5,1,7,AGE+GENDER,6.006,1,0,0,0,0,0
6,1,13,AGE+GENDER,1.839,1,0,0,0,0,0
7,1,15,GENDER,2.04,0,0,0,0,0,0
8,1,4,AGE+GENDER,1.849,1,0,0,0,0,0
9,1,1,GENDER,1.226,0,0,0,0,0,0
10,1,9,AGE+GENDER,1.789,0,0,0,0,0,0
11,2,12,AGE+GENDER,4.921,0,1,0,1,1,1
12,2,2,AGE+GENDER,5.74,0,1,0,1,1,1
13,2,1,GENDER,4.158,0,1,0,1,1,1
14,2,13,AGE+GENDER,4.223,1,1,0,1,1,1
15,2,15,GENDER,4.355,0,1,0,1,1,1
16,2,4,AGE+GENDER,3.8,0,1,0,1,1,1
17,2,10,GENDER,6.24,0,1,0,1,1,1
18,2,9,AGE+GENDER,1.999,1,1,0,1,1,1
19,2,14,AGE+GENDER,4.323,1,1,0,1,1,1
20,2,7,AGE+GENDER,3.605,1,1,0,1,1,1
21,2,9,AGE+GENDER,4.005,1,1,0,1,1,1
22,2,13,AGE+GENDER,1.955,1,1,0,1,1,1
23,2,7,AGE+GENDER,5.641,1,1,0,1,1,1
24,2,14,AGE+GENDER,3.589,1,1,0,1,1,1
25,2,10,GENDER,3.722,0,1,0,1,1,1
26,2,1,GENDER,3.181,0,1,0,1,1,1
27,2,2,AGE+GENDER,5.456,0,1,0,1,1,1
28,2,15,GENDER,3.474,0,1,0,1,1,1
29,2,12,AGE+GENDER,4.522,0,1,0,1,1,1
30,2,4,AGE+GENDER,2.651,0,1,0,1,1,1
31,3,9,AGE+GENDER,2.101,0,1,0,1,1,1
32,3,14,AGE+GENDER,4.174,1,1,0,1,1,1
33,3,12,AGE+GENDER,5.206,1,1,0,1,1,1
34,3,15,GENDER,4.254,0,1,0,1,1,1
35,3,10,GENDER,2.974,0,1,0,1,1,1
36,3,4,AGE+GENDER,2.581,1,1,0,1,1,1
37,3,13,AGE+GENDER,4.006,0,1,0,1,1,1
38,3,1,GENDER,2.308,0,1,0,1,1,1
39,3,7,AGE+GENDER,5.122,0,1,0,1,1,1
40,3,2,AGE+GENDER,4.89,1,1,0,1,1,1
41,3,4,AGE+GENDER,2.535,1,1,0,1,1,1
42,3,2,AGE+GENDER,2.87,1,1,0,1,1,1
43,3,15,GENDER,1.723,0,1,0,1,1,1
44,3,9,AGE+GENDER,2.307,0,1,0,1,1,1
45,3,10,GENDER,2.707,0,1,0,1,1,1
46,3,1,GENDER,2.36,0,1,0,1,1,1
47,3,13,AGE+GENDER,4.857,0,1,0,1,1,1
48,3,14,AGE+GENDER,3.257,1,1,0,1,1,1
49,3,7,AGE+GENDER,5.14,0,1,0,1,1,1
50,3,12,AGE+GENDER,4.773,1,1,0,1,1,1
51,4,1,GENDER,3.2,0,0,0,1,1,1
52,4,13,AGE+GENDER,7.273,1,0,0,1,1,1
53,4,15,GENDER,6.255,1,0,0,1,1,1
54,4,4,AGE+GENDER,4.166,1,0,0,1,1,1
55,4,2,AGE+GENDER,4.656,0,0,0,1,1,1
56,4,7,AGE+GENDER,2.991,1,0,0,1,1,1
57,4,10,GENDER,6.888,1,0,0,1,1,1
58,4,14,AGE+GENDER,4.989,1,0,0,1,1,1
59,4,14,AGE+GENDER,6.184,1,0,0,1,1,1
60,4,4,AGE+GENDER,4.252,0,0,0,1,1,1
61,4,2,AGE+GENDER,6.718,0,0,0,1,1,1
