,s,senario,Senario type,RT1,R,sex,age,theta,beta,alpha,beta_s
1,1,10,GENDER,3.04,0,0,0,0,0,0,1
2,1,2,AGE+GENDER,1.864,1,0,0,0,0,0,1
3,1,1,GENDER,1.473,1,0,0,0,0,0,1
4,1,9,AGE+GENDER,1.765,1,0,0,0,0,0,1
5,1,7,AGE+GENDER,3.046,0,0,0,0,0,0,1
6,1,13,AGE+GENDER,1.024,0,0,0,0,0,0,1
7,1,15,GENDER,2.048,1,0,0,0,0,0,1
8,1,4,AGE+GENDER,1.151,0,0,0,0,0,0,1
9,1,1,GENDER,0.801,1,0,0,0,0,0,1
10,1,9,AGE+GENDER,0.164,1,0,0,0,0,0,1
11,2,12,AGE+GENDER,1.471,1,1,0,1,1,1,0
12,2,2,AGE+GENDER,3.565,1,1,0,1,1,1,0
13,2,1,GENDER,3.69,1,1,0,1,1,1,0
14,2,13,AGE+GENDER,3.408,0,1,0,1,1,1,0
15,2,15,GENDER,3.365,1,1,0,1,1,1,0
16,2,4,AGE+GENDER,3.007,1,1,0,1,1,1,0
17,2,9,AGE+GENDER,2.146,0,1,0,1,1,1,0
18,2,14,AGE+GENDER,4.303,0,1,0,1,1,1,0
19,2,7,AGE+GENDER,0.645,0,1,0,1,1,1,0
20,2,9,AGE+GENDER,2.38,0,1,0,1,1,1,0
21,2,13,AGE+GENDER,1.14,0,1,0,1,1,1,0
22,2,7,AGE+GENDER,2.681,0,1,0,1,1,1,0
23,2,14,AGE+GENDER,3.569,0,1,0,1,1,1,0
24,2,10,GENDER,3.722,1,1,0,1,1,1,0
25,2,1,GENDER,2.756,1,1,0,1,1,1,0
26,2,2,AGE+GENDER,3.281,1,1,0,1,1,1,0
27,2,15,GENDER,3.482,1,1,0,1,1,1,0
28,2,12,AGE+GENDER,1.072,1,1,0,1,1,1,0
29,2,4,AGE+GENDER,1.953,1,1,0,1,1,1,0
30,3,9,AGE+GENDER,2.248,1,1,0,1,1,1,3
31,3,14,AGE+GENDER,4.154,0,1,0,1,1,1,3
32,3,12,AGE+GENDER,1.756,0,1,0,1,1,1,3
33,3,15,GENDER,3.264,1,1,0,1,1,1,3
34,3,10,GENDER,2.974,1,1,0,1,1,1,3
35,3,4,AGE+GENDER,1.788,0,1,0,1,1,1,3
36,3,13,AGE+GENDER,3.191,1,1,0,1,1,1,3
37,3,1,GENDER,1.84,1,1,0,1,1,1,3
38,3,7,AGE+GENDER,2.162,1,1,0,1,1,1,3
39,3,2,AGE+GENDER,2.715,0,1,0,1,1,1,3
40,3,4,AGE+GENDER,1.837,0,1,0,1,1,1,3
41,3,2,AGE+GENDER,0.695,0,1,0,1,1,1,3
42,3,15,GENDER,1.731,1,1,0,1,1,1,3
43,3,9,AGE+GENDER,0.682,1,1,0,1,1,1,3
44,3,10,GENDER,2.707,1,1,0,1,1,1,3
45,3,1,GENDER,1.935,1,1,0,1,1,1,3
46,3,13,AGE+GENDER,4.042,1,1,0,1,1,1,3
47,3,14,AGE+GENDER,3.237,0,1,0,1,1,1,3
48,3,7,AGE+GENDER,2.18,1,1,0,1,1,1,3
49,3,12,AGE+GENDER,1.323,0,1,0,1,1,1,3
50,4,1,GENDER,2.732,1,0,0,1,1,1,3
51,4,15,GENDER,5.265,0,0,0,1,1,1,3
52,4,4,AGE+GENDER,3.373,0,0,0,1,1,1,3
53,4,2,AGE+GENDER,2.481,1,0,0,1,1,1,3
54,4,14,AGE+GENDER,4.969,0,0,0,1,1,1,3
55,4,4,AGE+GENDER,3.554,1,0,0,1,1,1,3
56,4,2,AGE+GENDER,4.543,1,0,0,1,1,1,3
57,4,12,AGE+GENDER,3.206,1,0,0,1,1,1,3
58,4,15,GENDER,4.547,0,0,0,1,1,1,3
59,4,9,AGE+GENDER,3.698,0,0,0,1,1,1,3
60,4,13,AGE+GENDER,4.842,0,0,0,1,1,1,3
61,4,1,GENDER,2.252,1,0,0,1,1,1,3
62,5,14,AGE+GENDER,4.353,0,0,0,0,0,0,0
63,5,12,AGE+GENDER,0.807,1,0,0,0,0,0,0
64,5,1,GENDER,2.973,1,0,0,0,0,0,0
65,5,13,AGE+GENDER,4.125,0,0,0,0,0,0,0
66,5,2,AGE+GENDER,3.782,1,0,0,0,0,0,0
67,5,7,AGE+GENDER,3.263,0,0,0,0,0,0,0
68,5,14,AGE+GENDER,4.503,0,0,0,0,0,0,0
69,5,7,AGE+GENDER,1.996,0,0,0,0,0,0,0
70,5,15,GENDER,3.448,0,0,0,0,0,0,0
71,5,12,AGE+GENDER,3.072,1,0,0,0,0,0,0
72,5,9,AGE+GENDER,2.547,0,0,0,0,0,0,0
73,5,13,AGE+GENDER,2.39,0,0,0,0,0,0,0
74,5,1,GENDER,4.069,0,0,0,0,0,0,0
75,6,4,AGE+GENDER,1.507,0,0,1,0,0,0,2
76,6,9,AGE+GENDER,1.597,1,0,1,0,0,0,2
77,6,14,AGE+GENDER,3.82,0,0,1,0,0,0,2
78,6,12,AGE+GENDER,2.256,0,0,1,0,0,0,2
79,6,2,AGE+GENDER,1.983,0,0,1,0,0,0,2
80,6,13,AGE+GENDER,3.157,1,0,1,0,0,0,2
81,6,15,GENDER,1.732,1,0,1,0,0,0,2
82,6,1,GENDER,1.356,1,0,1,0,0,0,2
83,6,12,AGE+GENDER,0.522,0,0,1,0,0,0,2
84,6,10,GENDER,3.555,1,0,1,0,0,0,2
85,6,1,GENDER,1.838,1,0,1,0,0,0,2
86,6,2,AGE+GENDER,2.331,0,0,1,0,0,0,2
87,6,15,GENDER,2.598,1,0,1,0,0,0,2
88,7,14,AGE+GENDER,4.601,0,1,0,0,0,0,2
89,7,10,GENDER,5.39,1,1,0,0,0,0,2
