RT1,R
1.001,1.0
3.2510000000000003,1.0
0.6910000000000001,1.0
1.0710000000000002,1.0
3.7010000000000005,0.0
0.761,1.0
1.381,1.0
2.1710000000000003,1.0
2.5010000000000003,0.0
1.741,1.0
2.481,1.0
1.181,1.0
1.001,0.0
1.451,0.0
2.681,1.0
2.7809999999999997,1.0
4.731000000000001,1.0
1.311,1.0
7.011,1.0
1.921,1.0
4.2010000000000005,1.0
1.811,0.0
3.901,1.0
2.9210000000000003,1.0
4.141,0.0
0.911,0.0
3.3310000000000004,1.0
1.181,0.0
1.401,1.0
2.551,0.0
1.211,0.0
5.291,0.0
1.0110000000000001,0.0
6.551,0.0
1.0710000000000002,1.0
3.1710000000000003,1.0
2.891,0.0
0.681,0.0
1.241,1.0
1.841,1.0
2.5410000000000004,1.0
4.601,1.0
2.891,1.0
3.261,0.0
4.271,1.0
0.9410000000000001,1.0
0.9410000000000001,1.0
0.881,1.0
0.791,1.0
2.0010000000000003,0.0
4.261,0.0
4.051,0.0
1.571,0.0
0.901,1.0
2.2510000000000003,0.0
4.811,1.0
1.191,1.0
2.651,1.0
6.771000000000001,1.0
1.541,0.0
1.061,0.0
2.891,0.0
5.841,0.0
1.601,1.0
1.671,1.0
1.591,0.0
2.191,0.0
0.961,0.0
1.5110000000000001,0.0
2.031,0.0
2.241,0.0
1.381,1.0
3.561,0.0
1.611,1.0
2.261,0.0
1.141,0.0
1.5210000000000001,0.0
0.7010000000000001,0.0
1.191,0.0
0.861,1.0
1.141,0.0
0.861,1.0
1.421,0.0
0.641,1.0
3.431,0.0
2.201,0.0
1.7510000000000001,1.0
7.721,0.0
1.251,1.0
3.2110000000000003,0.0
1.641,0.0
0.611,0.0
2.061,0.0
3.261,1.0
4.381,1.0
0.681,0.0
1.461,1.0
1.481,1.0
2.021,0.0
0.931,0.0
1.241,1.0
1.801,1.0
1.161,0.0
1.3210000000000002,0.0
2.1710000000000003,0.0
2.641,0.0
2.101,0.0
2.4210000000000003,1.0
2.331,0.0
0.991,0.0
2.641,1.0
1.141,1.0
4.1610000000000005,0.0
1.401,0.0
2.1109999999999998,1.0
2.7009999999999996,0.0
2.5410000000000004,0.0
1.5310000000000001,0.0
1.741,1.0
5.2010000000000005,1.0
3.6610000000000005,0.0
2.401,1.0
1.711,0.0
2.1310000000000002,1.0
0.7310000000000001,1.0
3.511,0.0
1.5110000000000001,0.0
4.001,1.0
0.821,0.0
2.011,1.0
2.5309999999999997,0.0
2.301,1.0
0.891,0.0
5.211,0.0
1.331,0.0
3.101,1.0
1.0110000000000001,0.0
4.511,0.0
1.3210000000000002,0.0
4.171,0.0
4.621,0.0
0.831,0.0
7.901000000000001,1.0
3.051,0.0
1.431,1.0
0.881,1.0
1.0510000000000002,0.0
1.471,0.0
2.311,0.0
0.821,0.0
2.551,0.0
3.0810000000000004,0.0
4.851,1.0
3.2809999999999997,0.0
1.101,0.0
3.0709999999999997,0.0
4.371,0.0
0.841,0.0
3.7010000000000005,0.0
1.101,0.0
4.011,1.0
4.591,1.0
2.7110000000000003,0.0
4.101,1.0
5.9110000000000005,0.0
0.8009999999999999,0.0
4.581,1.0
2.1710000000000003,0.0
1.551,1.0
3.851,0.0
2.0010000000000003,0.0
1.891,1.0
0.671,1.0
2.351,0.0
1.0710000000000002,0.0
1.801,0.0
2.061,0.0
1.111,0.0
1.091,0.0
1.871,1.0
1.481,0.0
1.0110000000000001,0.0
2.5410000000000004,1.0
0.911,1.0
0.7010000000000001,1.0
0.9510000000000001,0.0
5.671,1.0
2.8209999999999997,1.0
2.561,1.0
2.331,0.0
2.9210000000000003,1.0
4.281,0.0
0.671,1.0
1.241,0.0
2.401,0.0
3.511,1.0
1.5210000000000001,0.0
0.821,1.0
0.851,0.0
1.191,0.0
1.211,0.0
0.841,1.0
2.441,0.0
2.771,1.0
2.591,0.0
1.621,0.0
1.491,0.0
3.0410000000000004,0.0
1.651,1.0
1.601,0.0
1.381,1.0
0.9410000000000001,1.0
1.021,1.0
1.3210000000000002,0.0
0.491,0.0
2.2910000000000004,0.0
2.931,0.0
1.331,1.0
1.961,0.0
1.001,1.0
1.811,0.0
2.021,1.0
1.951,0.0
1.0310000000000001,0.0
1.401,1.0
2.061,1.0
1.701,0.0
0.921,1.0
1.171,1.0
0.741,0.0
5.691000000000001,1.0
1.731,0.0
6.061,0.0
2.1310000000000002,0.0
1.311,0.0
1.5310000000000001,1.0
0.741,1.0
1.5110000000000001,1.0
2.7910000000000004,0.0
1.831,1.0
1.101,1.0
2.091,0.0
1.111,0.0
2.941,0.0
3.9610000000000003,0.0
2.301,1.0
3.641,0.0
1.201,0.0
0.871,0.0
4.721,1.0
1.911,0.0
3.191,1.0
2.191,0.0
4.021,0.0
1.741,1.0
1.271,1.0
1.7710000000000001,0.0
0.831,0.0
1.451,1.0
1.0510000000000002,0.0
