RT1,R
6.4110000000000005,1.0
1.171,1.0
2.0410000000000004,0.0
2.2110000000000003,0.0
1.0110000000000001,0.0
2.801,0.0
3.471,0.0
1.481,1.0
1.0710000000000002,0.0
1.001,1.0
3.301,0.0
4.111,1.0
2.371,1.0
3.6210000000000004,0.0
4.891,0.0
1.081,0.0
1.5110000000000001,1.0
3.3710000000000004,0.0
3.981,0.0
0.781,0.0
1.391,0.0
1.5010000000000001,1.0
4.4910000000000005,0.0
2.851,0.0
3.981,0.0
1.431,1.0
1.701,1.0
3.341,0.0
4.381,0.0
2.681,1.0
1.471,1.0
0.6910000000000001,1.0
5.9110000000000005,0.0
0.741,0.0
2.641,0.0
0.881,0.0
1.5310000000000001,1.0
1.201,1.0
1.381,0.0
1.221,1.0
2.401,1.0
1.401,1.0
1.041,0.0
0.961,1.0
4.281,0.0
0.981,1.0
2.011,1.0
1.3210000000000002,0.0
0.931,0.0
1.2810000000000001,1.0
2.691,1.0
1.791,1.0
0.631,0.0
0.991,0.0
2.401,0.0
1.041,1.0
3.1610000000000005,0.0
7.821000000000001,1.0
4.151,1.0
2.511,0.0
1.371,1.0
4.631,0.0
1.961,0.0
2.401,0.0
1.0710000000000002,1.0
1.2610000000000001,1.0
2.691,0.0
1.741,1.0
2.9110000000000005,0.0
1.831,1.0
2.9909999999999997,0.0
5.461,0.0
2.431,0.0
2.301,0.0
3.3810000000000002,0.0
2.1109999999999998,0.0
1.451,0.0
0.851,1.0
1.851,1.0
1.151,1.0
0.931,0.0
0.981,0.0
6.541,1.0
4.291,1.0
5.571000000000001,1.0
3.931,0.0
3.3810000000000002,1.0
5.331,0.0
1.811,1.0
0.831,0.0
2.891,1.0
2.6710000000000003,1.0
1.181,0.0
1.271,0.0
1.141,1.0
0.991,0.0
1.741,1.0
4.321,1.0
1.171,1.0
1.061,0.0
1.571,1.0
1.821,1.0
1.391,1.0
4.231,0.0
0.9510000000000001,0.0
0.831,0.0
7.631,0.0
2.641,1.0
2.1109999999999998,1.0
2.6310000000000002,1.0
2.4210000000000003,0.0
1.601,1.0
1.041,1.0
1.021,0.0
2.081,1.0
1.131,0.0
2.0010000000000003,1.0
3.811,1.0
3.091,0.0
3.8710000000000004,1.0
5.221,1.0
3.021,0.0
2.2910000000000004,0.0
0.9410000000000001,0.0
0.921,0.0
2.371,0.0
2.6109999999999998,1.0
3.2009999999999996,1.0
1.441,0.0
1.091,1.0
3.1710000000000003,0.0
2.121,1.0
7.421,0.0
1.581,0.0
2.551,1.0
3.6109999999999998,1.0
1.551,1.0
2.5010000000000003,1.0
1.0710000000000002,1.0
5.651000000000001,0.0
2.5810000000000004,1.0
1.081,1.0
2.681,1.0
2.5410000000000004,0.0
2.311,1.0
1.851,1.0
1.291,0.0
3.021,0.0
1.641,0.0
5.231000000000001,1.0
1.601,0.0
2.6710000000000003,0.0
0.5609999999999999,1.0
1.311,0.0
2.5810000000000004,0.0
4.371,0.0
1.931,0.0
1.7510000000000001,0.0
1.271,0.0
0.8009999999999999,1.0
1.211,0.0
1.841,0.0
1.841,0.0
2.201,1.0
0.7310000000000001,0.0
1.5110000000000001,1.0
0.6910000000000001,0.0
5.751,0.0
0.781,0.0
2.8810000000000002,0.0
4.631,0.0
5.051,0.0
3.221,0.0
1.7610000000000001,0.0
1.831,0.0
2.241,1.0
1.631,0.0
1.0710000000000002,0.0
7.751,0.0
4.971,1.0
1.541,1.0
1.641,0.0
3.9210000000000003,0.0
2.201,0.0
4.301,0.0
3.981,0.0
4.831,0.0
1.251,0.0
0.981,0.0
2.601,1.0
2.6109999999999998,0.0
2.9610000000000003,1.0
1.831,1.0
2.2110000000000003,1.0
1.991,1.0
2.5709999999999997,0.0
1.451,1.0
2.191,1.0
1.0310000000000001,0.0
1.131,1.0
2.281,0.0
2.181,1.0
4.801,0.0
2.601,0.0
3.521,1.0
2.371,1.0
1.7810000000000001,0.0
1.131,1.0
2.241,0.0
5.531000000000001,0.0
3.4610000000000003,1.0
4.841,1.0
2.6310000000000002,0.0
3.091,0.0
1.891,1.0
1.711,0.0
2.331,1.0
2.151,0.0
1.311,0.0
0.991,0.0
0.751,0.0
1.5010000000000001,1.0
0.621,0.0
6.191000000000001,1.0
1.161,1.0
1.821,0.0
2.391,1.0
3.641,0.0
1.611,0.0
5.351,0.0
1.101,1.0
2.1310000000000002,0.0
3.061,0.0
1.471,0.0
2.271,0.0
2.051,1.0
2.1310000000000002,1.0
1.121,0.0
1.801,1.0
3.9210000000000003,0.0
1.211,1.0
2.3209999999999997,0.0
2.301,0.0
1.291,0.0
1.2610000000000001,1.0
6.881,0.0
1.5010000000000001,0.0
0.821,1.0
0.681,1.0
3.7409999999999997,0.0
2.7009999999999996,0.0
2.051,1.0
2.431,0.0
2.551,0.0
2.311,0.0
0.821,1.0
1.221,1.0
1.701,0.0
3.9110000000000005,0.0
