,s,RT,M,Scenario_Type,R,sex,age,theta,beta,alpha,Q4,Q6,beta_s
0,1,10.381,Text,GENDER,1,0,0,0,0,0,2,2,3
1,1,5.896,Text,GENDER,0,0,0,0,0,0,2,2,3
2,1,4.548,Text,GENDER,0,0,0,0,0,0,2,2,3
3,1,3.531,Text,GENDER,0,0,0,0,0,0,2,2,3
4,1,4.014,Text,GENDER,0,0,0,0,0,0,2,2,3
5,1,2.547,Text,GENDER,1,0,0,0,0,0,2,2,3
6,2,2.699,Text,GENDER,0,1,0,1,1,1,3,1,1
7,2,2.098,Text,GENDER,0,1,0,1,1,1,3,1,1
8,2,4.364,Text,GENDER,0,1,0,1,1,1,3,1,1
9,2,2.631,Text,GENDER,0,1,0,1,1,1,3,1,1
10,2,2.098,Text,GENDER,0,1,0,1,1,1,3,1,1
11,2,5.198,Text,GENDER,0,1,0,1,1,1,3,1,1
12,3,9.73,Text,GENDER,0,1,0,1,1,1,2,1,3
13,3,2.764,Text,GENDER,0,1,0,1,1,1,2,1,3
14,3,4.28,Text,GENDER,0,1,0,1,1,1,2,1,3
15,3,3.481,Text,GENDER,0,1,0,1,1,1,2,1,3
16,3,3.214,Text,GENDER,0,1,0,1,1,1,2,1,3
17,3,3.48,Text,GENDER,0,1,0,1,1,1,2,1,3
18,4,3.931,Text,GENDER,1,0,0,1,1,1,2,3,3
19,4,2.098,Text,GENDER,1,0,0,1,1,1,2,3,3
20,4,2.281,Text,GENDER,0,0,0,1,1,1,2,3,3
21,4,4.047,Text,GENDER,1,0,0,1,1,1,2,3,3
22,4,5.031,Text,GENDER,0,0,0,1,1,1,2,3,3
23,4,2.047,Text,GENDER,0,0,0,1,1,1,2,3,3
24,5,11.281,Text,GENDER,0,0,0,0,0,0,1,3,0
25,5,6.681,Text,GENDER,1,0,0,0,0,0,1,3,0
26,6,7.148,Text,GENDER,0,0,1,0,0,1,1,3,2
27,6,7.065,Text,GENDER,0,0,1,0,0,1,1,3,2
28,6,4.597,Text,GENDER,0,0,1,0,0,1,1,3,2
29,6,6.248,Text,GENDER,0,0,1,0,0,1,1,3,2
30,6,2.88,Text,GENDER,0,0,1,0,0,1,1,3,2
31,6,2.497,Text,GENDER,0,0,1,0,0,1,1,3,2
32,7,1.714,Text,GENDER,0,1,0,1,1,0,3,1,2
33,7,3.481,Text,GENDER,0,1,0,1,1,0,3,1,2
34,7,5.681,Text,GENDER,1,1,0,1,1,0,3,1,2
35,7,2.631,Text,GENDER,0,1,0,1,1,0,3,1,2
36,7,4.031,Text,GENDER,0,1,0,1,1,0,3,1,2
37,7,2.647,Text,GENDER,0,1,0,1,1,0,3,1,2
38,8,6.216,Text,GENDER,0,0,1,1,1,1,1,1,0
39,8,5.516,Text,GENDER,1,0,1,1,1,1,1,1,0
40,8,3.599,Text,GENDER,0,0,1,1,1,1,1,1,0
41,8,4.733,Text,GENDER,1,0,1,1,1,1,1,1,0
42,8,3.882,Text,GENDER,1,0,1,1,1,1,1,1,0
43,8,6.067,Text,GENDER,0,0,1,1,1,1,1,1,0
44,9,5.065,Text,GENDER,0,1,0,0,0,0,3,2,2
45,9,3.23,Text,GENDER,0,1,0,0,0,0,3,2,2
46,9,3.08,Text,GENDER,0,1,0,0,0,0,3,2,2
47,10,4.698,Text,GENDER,0,0,1,1,1,1,1,2,2
48,10,3.847,Text,GENDER,0,0,1,1,1,1,1,2,2
49,10,3.965,Text,GENDER,0,0,1,1,1,1,1,2,2
50,10,4.131,Text,GENDER,0,0,1,1,1,1,1,2,2
51,10,10.848,Text,GENDER,1,0,1,1,1,1,1,2,2
52,10,3.68,Text,GENDER,1,0,1,1,1,1,1,2,2
53,11,5.231,Text,GENDER,0,1,0,1,1,1,2,2,0
54,11,7.932,Text,GENDER,0,1,0,1,1,1,2,2,0
55,11,7.331,Text,GENDER,0,1,0,1,1,1,2,2,0
56,11,3.781,Text,GENDER,0,1,0,1,1,1,2,2,0
57,11,4.847,Text,GENDER,0,1,0,1,1,1,2,2,0
58,11,3.763,Text,GENDER,0,1,0,1,1,1,2,2,0
59,12,12.398,Text,GENDER,0,1,0,1,1,0,2,1,1
60,12,2.648,Text,GENDER,0,1,0,1,1,0,2,1,1
61,12,3.998,Text,GENDER,0,1,0,1,1,0,2,1,1
62,12,3.247,Text,GENDER,0,1,0,1,1,0,2,1,1
63,12,3.614,Text,GENDER,0,1,0,1,1,0,2,1,1
64,12,1.413,Text,GENDER,0,1,0,1,1,0,2,1,1
65,13,3.648,Text,GENDER,0,1,1,0,0,1,2,2,2
66,13,5.098,Text,GENDER,0,1,1,0,0,1,2,2,2
67,13,5.648,Text,GENDER,0,1,1,0,0,1,2,2,2
68,13,5.248,Text,GENDER,1,1,1,0,0,1,2,2,2
69,13,3.031,Text,GENDER,1,1,1,0,0,1,2,2,2
70,13,1.565,Text,GENDER,1,1,1,0,0,1,2,2,2
71,14,8.165,Text,GENDER,0,1,0,0,0,0,3,1,0
72,14,2.532,Text,GENDER,0,1,0,0,0,0,3,1,0
73,14,4.032,Text,GENDER,0,1,0,0,0,0,3,1,0
74,14,5.432,Text,GENDER,0,1,0,0,0,0,3,1,0
75,14,2.515,Text,GENDER,0,1,0,0,0,0,3,1,0
76,14,3.149,Text,GENDER,0,1,0,0,0,0,3,1,0
77,15,5.064,Text,GENDER,0,1,0,1,1,0,2,2,3
78,15,9.881,Text,GENDER,0,1,0,1,1,0,2,2,3
79,15,3.148,Text,GENDER,0,1,0,1,1,0,2,2,3
80,15,3.064,Text,GENDER,1,1,0,1,1,0,2,2,3
81,15,5.131,Text,GENDER,0,1,0,1,1,0,2,2,3
82,15,3.814,Text,GENDER,0,1,0,1,1,0,2,2,3
83,16,2.897,Text,GENDER,0,1,0,0,0,1,2,1,1
84,16,3.363,Text,GENDER,0,1,0,0,0,1,2,1,1
85,16,4.464,Text,GENDER,0,1,0,0,0,1,2,1,1
86,16,3.364,Text,GENDER,0,1,0,0,0,1,2,1,1
87,16,3.914,Text,GENDER,0,1,0,0,0,1,2,1,1
88,16,3.214,Text,GENDER,0,1,0,0,0,1,2,1,1
89,17,3.131,Text,GENDER,0,0,1,1,1,0,3,1,3
90,17,2.164,Text,GENDER,0,0,1,1,1,0,3,1,3
91,17,4.83,Text,GENDER,0,0,1,1,1,0,3,1,3
92,17,2.58,Text,GENDER,0,0,1,1,1,0,3,1,3
93,17,1.547,Text,GENDER,0,0,1,1,1,0,3,1,3
94,17,2.448,Text,GENDER,0,0,1,1,1,0,3,1,3
95,18,5.981,Text,GENDER,0,0,0,1,1,1,1,1,1
96,18,12.648,Text,GENDER,1,0,0,1,1,1,1,1,1
97,18,7.582,Text,GENDER,0,0,0,1,1,1,1,1,1
98,18,12.33,Text,GENDER,0,0,0,1,1,1,1,1,1
99,18,6.446,Text,GENDER,1,0,0,1,1,1,1,1,1
100,19,2.615,Text,GENDER,0,0,1,1,1,0,1,1,2
101,19,2.532,Text,GENDER,0,0,1,1,1,0,1,1,2
102,19,2.899,Text,GENDER,1,0,1,1,1,0,1,1,2
103,19,2.182,Text,GENDER,0,0,1,1,1,0,1,1,2
104,19,2.015,Text,GENDER,1,0,1,1,1,0,1,1,2
105,20,8.015,Text,GENDER,1,0,1,1,1,0,1,1,2
106,20,5.131,Text,GENDER,0,0,1,1,1,0,1,1,2
