,RT1,R,RT_o,R_o
0,4.763291479575405,1.0,10.381,1
1,8.873291479575405,1.0,5.896,0
2,4.063291479575405,0.0,4.548,0
3,3.6532914795754046,0.0,3.531,0
4,11.913291479575404,0.0,4.014,0
5,3.423291479575405,1.0,2.547,1
6,7.813291479575405,0.0,2.699,0
7,2.2032914795754044,0.0,2.098,0
8,2.0332914795754045,0.0,4.364,0
9,7.8632914795754045,0.0,2.631,0
10,3.1232914795754043,0.0,2.098,0
11,4.483291479575405,0.0,5.198,0
12,10.453291479575405,1.0,9.73,0
13,3.553291479575405,0.0,2.764,0
14,4.253291479575404,0.0,4.28,0
15,5.993291479575404,0.0,3.481,0
16,5.203291479575404,0.0,3.214,0
17,2.9532914795754044,0.0,3.48,0
18,2.0732914795754045,1.0,3.931,1
19,3.1732914795754046,0.0,2.098,1
20,7.233291479575405,1.0,2.281,0
21,3.713291479575405,0.0,4.047,1
22,3.633291479575405,0.0,5.031,0
23,2.7932914795754047,1.0,2.047,0
24,9.063291479575405,0.0,11.281,0
25,8.053291479575405,0.0,6.681,1
26,4.5732914795754045,0.0,7.148,0
27,2.2732914795754047,0.0,7.065,0
28,2.9032914795754046,1.0,4.597,0
29,13.523291479575404,0.0,6.248,0
30,4.203291479575404,0.0,2.88,0
31,2.3032914795754045,0.0,2.497,0
32,2.3032914795754045,0.0,1.714,0
33,3.763291479575405,0.0,3.481,0
34,2.9032914795754046,0.0,5.681,1
35,3.393291479575405,0.0,2.631,0
36,1.9432914795754046,1.0,4.031,0
37,4.393291479575405,1.0,2.647,0
38,2.1532914795754046,1.0,6.216,0
39,12.343291479575404,1.0,5.516,1
40,9.243291479575404,0.0,3.599,0
41,3.9432914795754046,0.0,4.733,1
42,12.413291479575404,0.0,3.882,1
43,6.943291479575405,0.0,6.067,0
44,3.713291479575405,0.0,5.065,0
45,5.493291479575404,0.0,3.23,0
46,2.2132914795754046,0.0,3.08,0
47,3.8332914795754043,0.0,4.698,0
48,3.263291479575405,0.0,3.847,0
49,6.383291479575404,0.0,3.965,0
50,4.6132914795754045,1.0,4.131,0
51,5.433291479575405,0.0,10.848,1
52,5.123291479575404,0.0,3.68,1
53,4.003291479575404,1.0,5.231,0
54,3.4832914795754046,0.0,7.932,0
55,6.203291479575404,0.0,7.331,0
56,3.4432914795754046,0.0,3.781,0
57,6.343291479575404,0.0,4.847,0
58,3.2132914795754046,0.0,3.763,0
59,9.213291479575405,0.0,12.398,0
60,16.413291479575406,1.0,2.648,0
61,3.933291479575405,1.0,3.998,0
62,5.913291479575404,1.0,3.247,0
63,5.333291479575404,0.0,3.614,0
64,8.753291479575404,0.0,1.413,0
65,2.9132914795754044,1.0,3.648,0
66,5.213291479575405,0.0,5.098,0
67,7.133291479575404,0.0,5.648,0
68,1.9232914795754046,0.0,5.248,1
69,3.893291479575405,0.0,3.031,1
70,4.333291479575404,1.0,1.565,1
71,8.123291479575405,0.0,8.165,0
72,7.143291479575405,0.0,2.532,0
73,8.523291479575406,0.0,4.032,0
74,2.0532914795754045,0.0,5.432,0
75,8.663291479575404,0.0,2.515,0
76,5.703291479575404,0.0,3.149,0
77,4.943291479575405,0.0,5.064,0
78,12.903291479575405,0.0,9.881,0
79,12.753291479575404,1.0,3.148,0
80,5.793291479575404,0.0,3.064,1
81,2.6632914795754044,1.0,5.131,0
82,5.683291479575405,0.0,3.814,0
83,2.4432914795754046,0.0,2.897,0
84,2.2132914795754046,0.0,3.363,0
85,5.8632914795754045,0.0,4.464,0
86,2.4132914795754044,0.0,3.364,0
87,16.413291479575406,1.0,3.914,0
88,5.5332914795754045,0.0,3.214,0
89,1.8032914795754045,0.0,3.131,0
