RT1,R
5.789,0.0
7.199,0.0
4.289,0.0
4.769,0.0
1.589,0.0
3.789,0.0
2.699,0.0
2.699,0.0
3.189,0.0
5.889,0.0
4.829000000000001,0.0
2.709,0.0
2.209,0.0
6.179,0.0
2.8890000000000002,0.0
1.629,1.0
8.359,0.0
9.479,0.0
2.519,0.0
6.189,0.0
2.729,0.0
7.4590000000000005,0.0
1.859,0.0
2.009,0.0
4.119,0.0
8.599,0.0
2.299,0.0
6.759,0.0
4.009,0.0
2.169,0.0
3.489,0.0
2.279,0.0
2.159,0.0
2.609,0.0
2.129,0.0
5.719,0.0
3.719,0.0
4.769,0.0
10.279,0.0
7.099,0.0
2.5389999999999997,0.0
9.309000000000001,0.0
3.779,0.0
5.649,0.0
4.589,0.0
3.219,0.0
2.919,0.0
10.419,0.0
3.199,0.0
2.3289999999999997,0.0
2.9290000000000003,0.0
4.7989999999999995,0.0
3.989,0.0
11.419,0.0
3.349,0.0
2.8890000000000002,0.0
2.529,0.0
7.899,0.0
5.549,0.0
4.159,0.0
2.529,0.0
2.0389999999999997,0.0
7.309,0.0
6.749,0.0
8.068999999999999,0.0
2.899,0.0
7.299,0.0
3.1189999999999998,0.0
5.929,0.0
2.9989999999999997,0.0
6.1690000000000005,0.0
2.239,0.0
4.759,0.0
1.7189999999999999,0.0
3.849,0.0
2.9290000000000003,1.0
2.269,0.0
4.359,0.0
8.899000000000001,0.0
3.799,0.0
3.369,0.0
5.779,0.0
5.579,0.0
2.099,0.0
2.8689999999999998,0.0
10.029,0.0
8.119,1.0
4.709,1.0
7.069,0.0
9.619,0.0
2.819,0.0
8.818999999999999,0.0
3.859,0.0
8.649000000000001,1.0
3.939,1.0
5.409,0.0
5.949,0.0
3.389,0.0
2.089,0.0
3.059,0.0
1.999,0.0
4.109,0.0
8.498999999999999,0.0
4.519,0.0
3.899,0.0
1.939,0.0
2.4290000000000003,0.0
8.549,0.0
9.068999999999999,0.0
2.799,0.0
2.9989999999999997,0.0
3.059,0.0
8.089,0.0
3.989,0.0
10.039000000000001,0.0
2.049,0.0
3.979,0.0
4.859,0.0
3.509,0.0
2.8890000000000002,0.0
11.189,0.0
3.0389999999999997,0.0
6.859,0.0
10.369,0.0
4.1690000000000005,1.0
7.6290000000000004,0.0
3.239,0.0
3.109,1.0
4.849,0.0
1.729,0.0
8.339,1.0
4.929,0.0
2.8689999999999998,0.0
5.209,0.0
3.499,0.0
7.569,0.0
5.039,0.0
6.679,0.0
2.169,0.0
7.909,0.0
4.379,1.0
8.169,0.0
2.109,0.0
3.939,1.0
4.269,0.0
2.649,0.0
5.449,1.0
2.659,0.0
5.229,0.0
12.439,0.0
9.009,0.0
2.7190000000000003,0.0
4.159,0.0
2.699,0.0
4.939,0.0
7.769,0.0
3.639,0.0
7.639,0.0
3.199,1.0
4.718999999999999,0.0
3.289,0.0
10.838999999999999,1.0
3.129,0.0
4.059,0.0
6.049,0.0
3.0389999999999997,0.0
5.139,0.0
1.569,0.0
8.049,0.0
2.8689999999999998,0.0
7.249,0.0
5.109,0.0
1.959,0.0
5.449,0.0
3.239,0.0
2.7190000000000003,1.0
3.889,0.0
4.529,0.0
3.109,0.0
8.169,0.0
7.359,0.0
5.519,0.0
2.3890000000000002,0.0
6.769,0.0
2.239,0.0
2.529,1.0
6.229,0.0
4.129,0.0
3.459,0.0
3.079,0.0
2.089,0.0
2.3890000000000002,0.0
2.7889999999999997,0.0
4.239,0.0
1.7189999999999999,1.0
3.679,0.0
3.149,1.0
6.269,0.0
7.969,0.0
2.879,0.0
1.709,1.0
6.4190000000000005,0.0
1.9289999999999998,1.0
2.4989999999999997,0.0
3.169,0.0
