RT1,R
2.5389999999999997,1.0
11.779,1.0
5.739,1.0
2.449,0.0
5.909,0.0
2.9690000000000003,0.0
9.019,0.0
13.849,1.0
4.139,0.0
8.959,0.0
9.879000000000001,1.0
3.529,0.0
4.119,0.0
3.459,0.0
2.909,0.0
2.169,1.0
2.989,1.0
3.079,0.0
6.109,1.0
8.669,0.0
2.509,0.0
6.339,1.0
3.019,0.0
4.759,1.0
2.629,0.0
5.469,0.0
5.499,1.0
4.489,0.0
6.619,0.0
10.699000000000002,0.0
2.759,0.0
9.299,0.0
2.459,1.0
5.169,0.0
6.199,0.0
2.279,0.0
6.869,0.0
4.449,0.0
2.009,0.0
4.859,0.0
3.909,1.0
6.099,0.0
7.649,1.0
4.489,1.0
3.359,0.0
5.519,0.0
4.209,0.0
5.849,0.0
2.769,0.0
3.239,1.0
4.1690000000000005,1.0
4.489,0.0
3.589,1.0
7.979,0.0
3.299,1.0
4.599,0.0
1.839,1.0
5.229,0.0
5.029,1.0
3.469,0.0
7.799,0.0
9.568999999999999,0.0
6.509,0.0
3.259,0.0
2.2489999999999997,0.0
2.729,0.0
2.8890000000000002,0.0
5.589,0.0
3.209,1.0
6.759,0.0
7.569,0.0
12.269000000000002,1.0
4.699,0.0
3.659,0.0
3.629,0.0
1.9889999999999999,0.0
5.579,0.0
3.319,0.0
1.689,0.0
4.859,0.0
1.7389999999999999,1.0
5.639,1.0
2.449,0.0
11.879000000000001,0.0
9.759,0.0
7.489,0.0
3.929,0.0
2.339,0.0
2.189,0.0
3.029,1.0
5.609,1.0
3.049,1.0
2.159,0.0
2.509,1.0
2.569,0.0
6.709,0.0
8.899000000000001,0.0
8.589,0.0
2.069,1.0
3.999,0.0
6.399,1.0
11.039000000000001,0.0
5.489,1.0
5.969,1.0
5.849,0.0
