,RT1,R,RT_o,R_o
0,5.742522379506506,0.0,3.04,1
1,4.492522379506506,0.0,1.473,0
2,2.1825223795065063,0.0,2.048,0
3,2.5525223795065064,0.0,0.801,0
4,3.1925223795065065,0.0,3.69,0
5,3.8225223795065064,0.0,3.365,0
6,4.842522379506507,0.0,6.24,0
7,1.5725223795065064,0.0,3.722,0
8,2.8725223795065062,0.0,2.756,0
9,3.1525223795065065,0.0,3.482,0
12,7.302522379506507,1.0,1.84,0
13,6.462522379506506,0.0,1.731,0
14,5.012522379506506,0.0,2.707,0
15,3.5925223795065064,0.0,1.935,0
16,3.9525223795065063,0.0,2.732,0
17,2.4225223795065065,0.0,5.265,1
18,1.8625223795065065,0.0,6.888,1
19,3.332522379506506,1.0,4.547,1
20,2.8625223795065065,0.0,7.389,1
21,3.0125223795065064,0.0,2.252,0
22,1.6425223795065063,0.0,2.973,0
23,1.5325223795065064,0.0,3.448,1
24,2.7625223795065064,0.0,4.069,1
26,6.562522379506507,0.0,1.356,0
27,1.7825223795065064,0.0,3.555,0
28,2.2725223795065066,0.0,1.838,0
29,5.322522379506506,0.0,2.598,0
30,2.6925223795065065,0.0,5.39,0
31,2.6425223795065063,0.0,4.163,0
32,5.732522379506507,0.0,3.874,0
33,4.142522379506507,1.0,2.896,0
34,1.8825223795065065,0.0,2.533,0
36,4.332522379506506,1.0,4.023,0
37,1.7125223795065065,0.0,3.456,0
38,3.4425223795065065,1.0,6.039,0
39,3.1825223795065063,0.0,2.382,0
40,3.6025223795065062,0.0,3.573,0
41,1.2725223795065064,1.0,3.882,0
42,2.8625223795065065,1.0,3.504,0
43,2.5025223795065066,0.0,3.282,0
44,2.3825223795065065,0.0,5.257,0
45,3.4725223795065063,0.0,4.323,0
46,4.332522379506506,0.0,5.057,0
47,7.602522379506507,0.0,1.722,0
48,4.062522379506507,0.0,3.173,0
49,2.3225223795065064,0.0,2.932,0
50,1.6625223795065063,1.0,2.823,0
51,2.4625223795065065,0.0,2.846,0
52,1.3625223795065065,0.0,2.385,0
53,2.2425223795065063,0.0,3.415,0
54,2.5425223795065066,0.0,2.323,0
55,4.042522379506506,0.0,5.74,0
56,2.5525223795065064,1.0,5.023,0
57,2.1125223795065065,0.0,1.853,0
58,2.9225223795065065,0.0,3.115,0
59,2.8925223795065063,1.0,3.373,1
60,7.552522379506507,0.0,7.239,0
61,2.6325223795065065,0.0,4.411,1
62,7.512522379506507,1.0,2.75,0
63,3.082522379506506,0.0,1.674,0
64,1.7225223795065063,0.0,5.207,0
65,2.7825223795065064,1.0,3.064,0
66,3.0725223795065064,0.0,4.105,0
67,2.7025223795065063,1.0,4.038,0
68,4.6125223795065065,0.0,2.606,0
70,4.8625223795065065,1.0,4.072,1
71,5.202522379506506,0.0,2.065,0
72,3.3725223795065062,1.0,5.431,0
73,3.062522379506506,1.0,2.089,0
74,3.3525223795065062,1.0,3.838,0
75,4.702522379506506,1.0,3.298,0
78,5.032522379506506,1.0,1.124,0
79,3.252522379506506,1.0,2.857,0
80,1.5925223795065064,1.0,4.723,0
81,3.8525223795065062,1.0,7.391,0
82,2.0425223795065066,0.0,5.382,1
83,4.492522379506506,0.0,5.735,0
84,2.8825223795065065,0.0,7.539,0
85,2.9425223795065065,0.0,4.759,0
86,1.7125223795065065,0.0,1.574,1
87,3.9125223795065063,0.0,1.547,1
88,6.562522379506507,0.0,3.507,0
89,1.9625223795065065,1.0,2.756,1
90,3.6125223795065065,0.0,1.731,1
91,1.9825223795065066,1.0,1.319,1
92,3.4225223795065065,0.0,7.255,1
93,2.3425223795065064,1.0,4.33,1
94,4.122522379506506,0.0,4.358,1
96,3.6625223795065063,0.0,4.813,1
97,2.3125223795065066,1.0,7.055,1
98,7.742522379506506,0.0,6.073,0
99,5.492522379506506,0.0,4.59,0
100,1.9825223795065066,0.0,5.065,0
101,5.102522379506507,0.0,3.832,0
102,3.3625223795065065,1.0,3.457,1
104,2.2625223795065064,1.0,1.923,0
105,3.2025223795065063,0.0,1.869,0
106,1.9525223795065063,1.0,6.607,0
107,2.9225223795065065,0.0,4.53,1
108,3.2225223795065063,0.0,1.903,0
109,4.912522379506506,0.0,3.005,0
110,1.6625223795065063,1.0,3.282,0
111,2.7125223795065065,0.0,4.491,0
112,3.3425223795065064,1.0,1.556,0
113,2.4025223795065065,0.0,3.102,0
116,5.162522379506506,1.0,3.407,1
117,2.8125223795065066,0.0,3.273,1
118,2.7325223795065066,0.0,1.565,0
119,2.3225223795065064,0.0,5.039,0
120,2.7025223795065063,0.0,2.496,0
122,4.1525223795065065,1.0,6.403,0
123,6.6925223795065065,0.0,3.632,0
124,2.3225223795065064,0.0,2.057,1
125,1.8325223795065064,0.0,2.516,1
126,3.1225223795065062,0.0,1.822,1
128,2.1525223795065065,0.0,3.94,1
129,2.3825223795065065,1.0,2.79,0
130,2.3625223795065065,0.0,3.998,0
131,2.7425223795065063,0.0,3.707,0
132,6.682522379506507,0.0,4.386,1
133,1.9625223795065065,1.0,6.174,0
135,4.812522379506507,1.0,4.149,0
136,3.6225223795065062,0.0,4.914,1
137,3.8425223795065064,1.0,4.406,1
138,1.8125223795065064,0.0,4.941,0
139,6.042522379506506,0.0,3.873,0
140,7.432522379506507,0.0,5.807,0
141,2.7325223795065066,0.0,4.032,1
142,2.5525223795065064,0.0,1.623,0
143,4.002522379506506,0.0,1.348,0
144,1.9625223795065065,0.0,2.49,0
145,3.2625223795065064,0.0,1.628,0
146,1.6625223795065063,0.0,1.273,0
147,6.962522379506506,0.0,3.44,0
148,3.1525223795065065,0.0,5.457,0
151,3.6125223795065065,0.0,1.92,0
152,2.2125223795065065,1.0,2.623,0
153,1.7225223795065063,0.0,3.33,0
154,4.482522379506507,0.0,6.49,1
155,5.062522379506507,0.0,4.297,0
156,6.602522379506507,0.0,7.64,0
157,4.3625223795065065,0.0,4.336,0
158,5.162522379506506,1.0,3.05,0
159,1.4925223795065063,0.0,2.806,0
160,4.062522379506507,0.0,2.239,0
161,4.932522379506507,0.0,2.139,0
162,3.2825223795065064,0.0,2.131,0
163,5.1525223795065065,1.0,0.654,0
164,2.6425223795065063,0.0,3.673,0
165,2.2225223795065063,0.0,6.44,1
166,1.7825223795065064,1.0,4.67,0
167,3.2225223795065063,0.0,2.823,0
168,5.232522379506507,0.0,3.148,1
169,5.972522379506507,0.0,4.523,1
170,6.082522379506506,0.0,3.257,0
171,2.0425223795065066,0.0,4.239,1
172,2.4925223795065063,0.0,3.465,1
173,3.7025223795065063,0.0,4.655,0
174,4.6125223795065065,1.0,1.873,0
175,4.242522379506506,1.0,3.44,0
176,5.092522379506506,0.0,1.473,0
177,2.4525223795065063,0.0,1.473,0
