RT1,R
7.473,0.0
5.043,0.0
2.473,0.0
5.423,0.0
2.753,0.0
5.823,0.0
5.783,0.0
1.883,0.0
7.763,0.0
2.583,0.0
4.513,0.0
2.123,0.0
5.1129999999999995,0.0
2.183,0.0
2.793,0.0
2.723,0.0
2.533,0.0
2.323,0.0
2.133,0.0
1.593,0.0
1.713,0.0
2.473,0.0
4.1530000000000005,0.0
3.173,0.0
2.383,0.0
2.9829999999999997,0.0
1.643,0.0
2.633,0.0
2.213,0.0
2.043,0.0
3.083,0.0
5.613,0.0
2.783,0.0
2.363,0.0
6.573,0.0
1.983,0.0
3.783,1.0
4.023,0.0
3.543,0.0
3.2030000000000003,0.0
2.053,0.0
2.843,0.0
2.443,0.0
2.803,1.0
2.653,1.0
2.943,1.0
2.073,0.0
3.433,0.0
1.9129999999999998,0.0
4.452999999999999,0.0
6.133,1.0
4.073,0.0
4.183,0.0
4.343,1.0
6.093,1.0
3.893,0.0
3.393,0.0
2.233,0.0
2.443,0.0
2.073,0.0
1.803,0.0
2.673,0.0
1.853,0.0
2.4530000000000003,0.0
3.143,0.0
2.433,0.0
2.433,0.0
2.713,0.0
2.503,0.0
6.703,0.0
3.713,0.0
2.4130000000000003,0.0
3.573,0.0
4.583,0.0
6.953,0.0
1.843,0.0
7.123,0.0
4.103,0.0
1.873,0.0
3.0229999999999997,0.0
3.213,0.0
3.773,0.0
2.9829999999999997,0.0
7.313,0.0
3.603,0.0
7.243,0.0
3.513,1.0
4.8629999999999995,0.0
2.713,0.0
2.503,0.0
5.073,0.0
2.923,0.0
2.3529999999999998,0.0
2.4530000000000003,0.0
3.1630000000000003,0.0
2.893,0.0
4.293,0.0
2.043,0.0
1.963,0.0
3.383,0.0
5.483,0.0
1.853,0.0
3.0229999999999997,0.0
3.933,0.0
6.533,0.0
4.563000000000001,0.0
6.023,0.0
3.763,0.0
2.743,0.0
2.213,0.0
6.4030000000000005,0.0
3.563,0.0
3.223,0.0
2.363,0.0
2.133,0.0
5.313,0.0
4.133,0.0
2.393,0.0
3.333,0.0
3.403,1.0
2.7329999999999997,1.0
3.3529999999999998,0.0
2.003,0.0
4.063000000000001,0.0
4.633,0.0
3.683,0.0
2.543,0.0
1.803,0.0
2.753,0.0
2.203,0.0
2.753,1.0
4.883,0.0
7.013,0.0
5.373,0.0
4.603,0.0
2.823,0.0
3.263,0.0
7.983,0.0
7.423,0.0
6.483,1.0
2.623,0.0
2.0229999999999997,0.0
7.193,0.0
3.423,0.0
2.673,0.0
2.393,0.0
4.073,0.0
6.373,0.0
2.593,0.0
2.4829999999999997,0.0
3.443,0.0
3.053,0.0
4.843,1.0
6.513,0.0
3.053,0.0
4.1530000000000005,0.0
3.433,0.0
3.913,0.0
2.9130000000000003,0.0
2.153,0.0
3.773,0.0
5.173,0.0
4.333,0.0
2.4829999999999997,0.0
2.4130000000000003,0.0
2.083,0.0
4.833,0.0
2.3529999999999998,0.0
2.9829999999999997,0.0
3.143,0.0
3.143,0.0
5.003,0.0
2.393,0.0
6.563,0.0
2.173,1.0
3.943,0.0
2.193,1.0
6.173,0.0
3.763,0.0
3.113,0.0
1.7429999999999999,0.0
5.383,0.0
4.923,1.0
6.673,0.0
3.783,0.0
2.883,0.0
6.723,0.0
3.513,0.0
2.233,1.0
1.9329999999999998,0.0
3.603,0.0
2.173,0.0
3.633,0.0
2.233,0.0
3.843,0.0
2.823,0.0
3.733,0.0
1.883,0.0
2.9829999999999997,0.0
3.913,0.0
5.893,0.0
2.263,1.0
6.593,0.0
2.9130000000000003,0.0
4.663,0.0
4.253,0.0
2.083,0.0
4.583,0.0
3.733,0.0
2.133,0.0
2.293,0.0
7.013,0.0
3.083,0.0
4.253,0.0
2.473,0.0
7.4430000000000005,1.0
3.553,0.0
3.8729999999999998,0.0
2.203,0.0
5.673,0.0
3.093,0.0
2.543,0.0
4.013,0.0
3.933,0.0
6.013,0.0
5.173,0.0
3.303,0.0
4.843,1.0
6.223,0.0
2.823,0.0
4.2330000000000005,0.0
3.673,0.0
2.343,0.0
2.0229999999999997,0.0
5.013,0.0
3.053,0.0
3.683,0.0
1.8929999999999998,0.0
6.253,0.0
3.553,0.0
3.463,0.0
3.543,0.0
3.293,0.0
4.243,0.0
6.923,0.0
2.993,0.0
3.443,0.0
2.3129999999999997,0.0
3.183,1.0
3.963,1.0
4.183,0.0
2.403,0.0
4.343,0.0
3.673,0.0
3.653,0.0
4.223,0.0
2.723,0.0
4.523,0.0
2.633,0.0
4.163,0.0
3.073,0.0
2.293,0.0
2.4530000000000003,0.0
4.543,0.0
2.743,0.0
1.903,0.0
2.4530000000000003,0.0
2.233,0.0
2.5629999999999997,0.0
2.873,0.0
7.953,0.0
2.393,0.0
5.813,0.0
2.4530000000000003,0.0
5.2330000000000005,0.0
2.6029999999999998,0.0
5.393,0.0
4.213,0.0
2.9829999999999997,1.0
3.453,1.0
5.953,0.0
6.423,0.0
3.243,0.0
2.133,0.0
3.1029999999999998,0.0
3.0229999999999997,0.0
2.2729999999999997,0.0
4.383,0.0
2.183,0.0
4.463,0.0
2.713,0.0
5.753,0.0
3.653,0.0
2.713,0.0
3.213,0.0
2.263,0.0
2.323,0.0
4.873,0.0
2.633,0.0
2.133,0.0
4.073,0.0
2.543,0.0
2.113,1.0
4.423,0.0
5.2829999999999995,0.0
6.263,0.0
1.863,0.0
4.753,0.0
3.053,0.0
2.133,0.0
3.053,0.0
5.303,1.0
3.343,0.0
3.523,0.0
2.693,0.0
3.043,1.0
5.333,0.0
4.452999999999999,0.0
2.2729999999999997,0.0
6.993,0.0
4.063000000000001,0.0
2.243,0.0
3.493,0.0
6.343,0.0
4.9030000000000005,0.0
3.933,0.0
6.553,0.0
2.9130000000000003,0.0
3.523,0.0
5.163,0.0
2.1029999999999998,0.0
4.713,0.0
3.803,0.0
2.213,0.0
4.293,0.0
4.743,0.0
4.073,0.0
1.9529999999999998,0.0
3.393,0.0
2.883,0.0
2.123,0.0
2.213,0.0
2.4530000000000003,0.0
1.7429999999999999,0.0
2.203,0.0
3.813,0.0
2.193,0.0
1.843,0.0
5.083,0.0
2.823,0.0
4.513,0.0
2.093,0.0
4.003,0.0
7.993,0.0
1.783,0.0
2.343,0.0
6.4030000000000005,0.0
2.683,0.0
2.443,1.0
3.573,0.0
2.933,0.0
2.583,1.0
3.303,0.0
3.363,0.0
4.1530000000000005,0.0
4.383,0.0
2.463,0.0
3.293,0.0
4.6129999999999995,0.0
5.623,0.0
4.2330000000000005,0.0
2.463,0.0
2.303,0.0
2.203,0.0
5.2829999999999995,0.0
2.7329999999999997,0.0
6.493,0.0
7.123,0.0
3.413,0.0
7.543,0.0
1.983,0.0
4.093,0.0
3.693,0.0
3.283,0.0
6.213,0.0
3.693,0.0
4.473,0.0
5.433,0.0
4.7330000000000005,0.0
2.143,0.0
4.6530000000000005,0.0
2.793,0.0
7.963,0.0
1.863,0.0
2.7030000000000003,0.0
6.723,0.0
2.283,0.0
3.6229999999999998,0.0
2.543,0.0
2.403,0.0
2.843,0.0
2.803,0.0
3.703,1.0
2.5229999999999997,0.0
3.463,0.0
2.1029999999999998,0.0
3.413,0.0
2.4130000000000003,0.0
3.853,0.0
3.303,0.0
2.583,0.0
2.043,0.0
2.943,0.0
4.073,0.0
4.043,0.0
3.783,0.0
2.123,0.0
2.013,0.0
2.193,0.0
4.993,0.0
3.843,0.0
1.673,0.0
6.703,0.0
2.803,0.0
5.403,0.0
3.093,0.0
2.543,0.0
7.433,0.0
2.383,0.0
4.463,0.0
2.683,0.0
3.473,1.0
2.093,0.0
2.303,0.0
3.443,0.0
4.183,0.0
4.973,0.0
5.073,0.0
1.873,0.0
4.843,0.0
3.213,0.0
1.823,0.0
2.8129999999999997,0.0
5.743,0.0
2.263,0.0
6.523,0.0
2.043,0.0
1.653,0.0
4.383,0.0
4.673,0.0
2.723,0.0
2.513,0.0
2.653,0.0
3.2030000000000003,1.0
7.773,0.0
2.903,0.0
4.133,0.0
1.803,0.0
2.893,0.0
3.843,0.0
3.543,0.0
3.013,0.0
1.923,0.0
4.2330000000000005,0.0
4.383,0.0
4.373,0.0
2.653,0.0
2.503,0.0
4.122999999999999,0.0
2.293,0.0
2.433,0.0
2.973,0.0
1.803,0.0
2.903,0.0
2.7729999999999997,0.0
2.333,0.0
1.983,0.0
5.063000000000001,0.0
2.783,0.0
5.783,0.0
2.843,0.0
4.823,0.0
2.193,0.0
2.203,0.0
6.843,0.0
4.893,0.0
3.983,0.0
2.433,0.0
6.353,1.0
2.693,0.0
7.733,0.0
2.133,0.0
3.433,0.0
2.533,0.0
4.223,1.0
2.623,0.0
3.013,0.0
2.963,1.0
2.993,0.0
3.853,0.0
3.113,0.0
2.0229999999999997,0.0
3.1630000000000003,0.0
3.8729999999999998,0.0
4.633,0.0
2.173,0.0
1.923,0.0
2.213,0.0
4.333,0.0
4.013,0.0
1.963,0.0
1.653,0.0
3.053,0.0
3.033,0.0
4.1530000000000005,0.0
1.963,0.0
3.663,0.0
4.753,0.0
4.373,0.0
2.6630000000000003,0.0
3.543,0.0
6.623,0.0
1.9529999999999998,0.0
4.743,0.0
2.6029999999999998,0.0
2.743,0.0
4.393,0.0
1.9529999999999998,0.0
2.883,0.0
2.943,0.0
3.363,0.0
4.1129999999999995,0.0
7.773,0.0
3.073,0.0
4.143,0.0
4.143,0.0
2.203,0.0
2.423,1.0
1.863,0.0
7.673,0.0
7.463,0.0
4.1129999999999995,0.0
4.713,0.0
5.603,0.0
4.7829999999999995,0.0
4.353,0.0
7.083,0.0
6.493,0.0
3.043,0.0
2.893,0.0
7.683,0.0
3.223,0.0
1.9529999999999998,0.0
2.443,0.0
2.213,0.0
2.723,0.0
5.013,0.0
6.283,0.0
3.093,0.0
1.9729999999999999,0.0
6.043,0.0
2.7729999999999997,0.0
7.483,0.0
3.243,0.0
6.233,0.0
3.603,0.0
2.283,0.0
3.903,0.0
3.2329999999999997,0.0
6.793,0.0
6.563,0.0
4.663,0.0
3.3529999999999998,0.0
5.1530000000000005,1.0
3.1630000000000003,0.0
4.952999999999999,0.0
3.503,0.0
7.713,0.0
4.3629999999999995,0.0
2.893,0.0
