RT1,R
4.1690000000000005,1.0
2.979,0.0
5.019,0.0
3.789,1.0
2.209,0.0
4.599,1.0
7.289,0.0
6.689,0.0
2.109,0.0
5.479,0.0
5.7090000000000005,1.0
7.429,1.0
2.1189999999999998,0.0
2.709,1.0
7.659,1.0
7.729,1.0
4.279,0.0
2.319,1.0
2.089,0.0
4.569,1.0
2.409,0.0
4.089,1.0
1.209,0.0
2.8890000000000002,0.0
5.259,0.0
2.5789999999999997,0.0
2.089,1.0
3.049,0.0
1.0190000000000001,0.0
6.219,0.0
2.899,1.0
5.539,1.0
2.739,1.0
1.529,0.0
5.609,0.0
6.3790000000000004,0.0
4.1690000000000005,0.0
3.279,0.0
4.569,0.0
6.759,1.0
6.269,0.0
3.1590000000000003,1.0
2.109,1.0
2.659,0.0
4.429,0.0
1.0190000000000001,1.0
1.829,0.0
5.699,0.0
5.319,1.0
5.479,0.0
2.859,0.0
4.0489999999999995,1.0
5.299,1.0
1.659,0.0
5.259,1.0
4.949,1.0
2.9090000000000003,1.0
2.869,0.0
1.189,1.0
1.5390000000000001,0.0
1.5190000000000001,1.0
2.229,0.0
2.2190000000000003,1.0
1.649,0.0
5.179,0.0
3.329,0.0
3.239,0.0
2.729,0.0
7.1690000000000005,1.0
3.519,0.0
6.909,1.0
1.299,1.0
2.439,0.0
1.499,1.0
1.4689999999999999,0.0
1.3090000000000002,1.0
4.459,0.0
3.599,0.0
1.499,0.0
3.1390000000000002,0.0
2.4690000000000003,0.0
5.689,1.0
3.009,0.0
6.159,1.0
5.899,1.0
2.829,0.0
1.979,1.0
4.859,0.0
6.409,0.0
2.829,0.0
5.939,0.0
6.599,0.0
6.909,0.0
1.129,0.0
5.2090000000000005,1.0
1.639,0.0
3.739,1.0
1.979,0.0
3.999,0.0
3.359,0.0
2.049,0.0
2.269,0.0
5.359,0.0
1.699,0.0
2.1390000000000002,1.0
1.919,0.0
1.609,1.0
5.809,0.0
3.809,1.0
7.969,0.0
2.129,0.0
5.449,0.0
3.579,0.0
5.319,0.0
3.989,0.0
2.399,0.0
2.5090000000000003,0.0
5.7090000000000005,0.0
1.2890000000000001,1.0
2.959,0.0
1.529,0.0
6.7090000000000005,0.0
1.619,1.0
2.309,0.0
3.1590000000000003,0.0
7.759,0.0
4.789,0.0
2.939,0.0
1.639,1.0
5.739,0.0
1.939,1.0
2.309,0.0
2.189,1.0
4.159000000000001,0.0
2.979,0.0
1.619,1.0
2.899,0.0
2.529,0.0
1.999,0.0
2.659,0.0
4.439,1.0
3.119,0.0
2.0789999999999997,1.0
1.889,0.0
5.229,0.0
3.999,0.0
6.789,1.0
6.079,1.0
4.979,0.0
1.739,0.0
1.909,0.0
1.589,1.0
4.639,1.0
2.3890000000000002,0.0
4.139,0.0
3.979,0.0
5.699,1.0
6.969,0.0
2.809,0.0
2.1790000000000003,0.0
7.659,0.0
4.639,1.0
1.129,0.0
4.599,1.0
2.269,1.0
2.069,0.0
7.869,0.0
2.839,0.0
5.069,0.0
1.099,1.0
2.339,1.0
6.7490000000000006,0.0
3.619,0.0
7.359,0.0
1.2389999999999999,0.0
4.189,0.0
2.089,0.0
4.989,1.0
2.569,1.0
3.189,0.0
2.439,0.0
2.699,0.0
1.959,0.0
2.709,1.0
3.209,0.0
5.9590000000000005,0.0
2.849,1.0
2.1390000000000002,0.0
3.1590000000000003,1.0
2.149,1.0
5.119,0.0
2.249,1.0
6.969,0.0
4.289,0.0
4.239,0.0
2.339,1.0
3.089,0.0
3.099,0.0
3.269,0.0
6.569,0.0
6.969,1.0
2.149,0.0
7.1290000000000004,0.0
2.269,0.0
3.059,0.0
7.219,0.0
0.979,0.0
3.1390000000000002,1.0
7.579,1.0
6.909,1.0
1.859,0.0
2.129,1.0
4.099,0.0
2.919,1.0
2.899,0.0
2.729,0.0
7.529,0.0
1.959,0.0
3.269,1.0
1.929,1.0
2.0090000000000003,0.0
4.559,0.0
1.729,0.0
1.729,1.0
2.749,0.0
1.189,0.0
2.479,0.0
1.889,1.0
2.069,1.0
7.969,0.0
4.969,1.0
5.329,0.0
2.859,0.0
3.179,1.0
4.149,0.0
5.809,1.0
2.2190000000000003,1.0
2.1390000000000002,0.0
3.449,0.0
4.429,1.0
7.329,0.0
3.189,0.0
2.899,1.0
7.389,0.0
3.529,1.0
2.2190000000000003,1.0
4.009,0.0
6.549,0.0
5.8790000000000004,0.0
2.3890000000000002,0.0
2.899,1.0
5.359,0.0
4.319,1.0
2.1790000000000003,0.0
2.849,1.0
3.9290000000000003,0.0
4.329000000000001,0.0
4.579000000000001,0.0
1.579,0.0
2.5789999999999997,0.0
2.359,0.0
4.909,0.0
6.079,0.0
2.759,0.0
4.829,0.0
7.1290000000000004,0.0
6.619,0.0
1.459,0.0
5.659,1.0
6.299,0.0
4.479,0.0
3.039,0.0
4.069,0.0
4.609,0.0
6.249,1.0
3.299,1.0
6.839,0.0
4.749,1.0
7.7490000000000006,1.0
1.729,0.0
4.399,1.0
1.479,0.0
6.079,1.0
3.959,0.0
2.779,0.0
7.109,0.0
1.499,0.0
6.239,0.0
1.5590000000000002,0.0
3.329,0.0
7.779,1.0
2.3289999999999997,0.0
1.889,0.0
3.6590000000000003,0.0
1.2690000000000001,0.0
7.779,0.0
4.429,0.0
4.2989999999999995,0.0
2.739,0.0
4.229,1.0
4.259,0.0
2.689,0.0
6.069,0.0
4.749,1.0
1.649,1.0
4.639,0.0
7.1290000000000004,0.0
5.3790000000000004,0.0
7.539,0.0
5.949,0.0
5.189,1.0
2.049,0.0
1.479,0.0
3.8890000000000002,0.0
3.919,1.0
3.019,1.0
4.439,0.0
2.349,0.0
5.639,0.0
3.999,1.0
2.0789999999999997,1.0
6.309,1.0
2.2190000000000003,0.0
1.899,1.0
4.429,0.0
1.419,0.0
2.789,1.0
3.099,1.0
1.729,0.0
5.6690000000000005,1.0
4.289,0.0
1.629,0.0
5.329,1.0
4.759,0.0
4.379,0.0
4.2989999999999995,0.0
3.1390000000000002,0.0
2.439,0.0
3.869,1.0
7.969,1.0
3.739,0.0
1.669,1.0
3.079,0.0
6.069,0.0
7.8790000000000004,1.0
2.3289999999999997,0.0
3.459,1.0
2.499,0.0
1.939,1.0
2.399,0.0
7.819,1.0
7.079,0.0
2.999,0.0
3.719,0.0
4.479,0.0
3.269,0.0
4.329000000000001,1.0
2.229,0.0
2.739,1.0
4.869,0.0
1.669,1.0
3.869,0.0
4.5489999999999995,0.0
7.719,0.0
3.699,1.0
7.589,0.0
1.2189999999999999,1.0
1.919,0.0
4.619,0.0
5.069,0.0
5.769,0.0
7.189,0.0
3.859,0.0
3.439,0.0
1.579,1.0
4.729,1.0
4.8790000000000004,1.0
2.589,0.0
3.599,0.0
4.279,1.0
5.319,0.0
2.569,0.0
2.189,1.0
3.479,0.0
3.709,0.0
1.939,0.0
4.039,0.0
2.569,0.0
1.609,0.0
2.1390000000000002,0.0
3.669,0.0
3.579,0.0
7.199,0.0
4.439,0.0
2.829,0.0
1.789,0.0
2.3890000000000002,1.0
4.809,0.0
3.369,1.0
1.599,0.0
4.2490000000000006,0.0
3.819,1.0
3.9290000000000003,0.0
1.5190000000000001,0.0
