RT1,R
3.181510524,0.0
4.481510524,0.0
3.481510524,0.0
3.851510524,1.0
1.961510524,0.0
1.6715105239999999,0.0
5.971510524,0.0
2.891510524,1.0
1.241510524,1.0
1.571510524,1.0
1.331510524,0.0
5.841510524,0.0
3.831510524,1.0
3.501510524,0.0
2.891510524,0.0
1.941510524,0.0
5.351510524,0.0
3.511510524,0.0
6.711510524,1.0
6.101510524,0.0
3.171510524,1.0
2.251510524,0.0
3.921510524,0.0
1.211510524,0.0
4.401510524,0.0
2.521510524,0.0
6.291510524,1.0
1.311510524,0.0
4.341510524,1.0
4.381510524,1.0
3.231510524,1.0
4.481510524,0.0
2.401510524,0.0
7.291510524,0.0
2.831510524,0.0
2.561510524,0.0
3.181510524,0.0
1.521510524,1.0
3.171510524,0.0
6.251510524,1.0
3.291510524,0.0
3.411510524,0.0
3.061510524,1.0
1.681510524,1.0
3.301510524,0.0
4.311510524,0.0
5.501510524,0.0
3.491510524,0.0
2.141510524,0.0
2.811510524,0.0
1.1815105240000001,0.0
1.601510524,0.0
1.4315105240000001,0.0
2.801510524,0.0
2.601510524,0.0
2.561510524,0.0
2.421510524,0.0
4.751510524,0.0
7.241510524,0.0
2.0715105240000002,0.0
4.801510524,1.0
4.021510524,1.0
7.481510524,1.0
2.241510524,0.0
1.461510524,1.0
1.261510524,0.0
6.821510524,1.0
1.691510524,0.0
1.251510524,1.0
3.951510524,1.0
1.281510524,1.0
5.241510524,0.0
6.761510524,0.0
4.741510524,0.0
2.681510524,1.0
6.661510524,0.0
1.601510524,1.0
2.211510524,0.0
4.851510524,0.0
1.761510524,0.0
2.741510524,0.0
1.421510524,0.0
2.821510524,0.0
4.461510524,1.0
2.811510524,0.0
4.011510524,0.0
4.091510524,0.0
4.541510524,1.0
1.9215105239999999,0.0
3.941510524,0.0
5.591510524,0.0
2.011510524,0.0
1.531510524,0.0
2.861510524,0.0
2.441510524,0.0
3.981510524,0.0
2.511510524,0.0
5.031510524,0.0
2.921510524,0.0
2.191510524,0.0
2.041510524,0.0
2.921510524,0.0
2.101510524,0.0
7.341510524,0.0
3.641510524,1.0
3.611510524,0.0
6.821510524,1.0
3.821510524,0.0
1.211510524,0.0
1.121510524,0.0
3.671510524,0.0
2.671510524,0.0
3.821510524,0.0
2.3415105240000003,1.0
1.501510524,0.0
5.861510524,0.0
6.821510524,0.0
5.981510524,0.0
3.441510524,1.0
1.851510524,0.0
2.331510524,1.0
1.941510524,1.0
1.6615105239999999,0.0
4.341510524,1.0
2.951510524,0.0
7.571510524,1.0
5.071510524,0.0
1.1815105240000001,0.0
6.421510524,0.0
6.241510524,0.0
3.841510524,0.0
2.981510524,0.0
1.6615105239999999,0.0
2.371510524,1.0
4.401510524,0.0
2.491510524,0.0
3.791510524,0.0
1.951510524,0.0
1.371510524,0.0
1.581510524,0.0
4.761510524,0.0
3.951510524,0.0
7.701510524,0.0
2.681510524,0.0
1.9015105239999999,1.0
7.8715105240000005,1.0
3.491510524,0.0
6.211510524,0.0
4.151510524,0.0
4.661510524,0.0
3.691510524,0.0
2.251510524,1.0
4.421510524,0.0
6.191510524,0.0
4.591510524,0.0
2.401510524,0.0
1.061510524,0.0
6.841510524,0.0
3.271510524,1.0
2.371510524,0.0
6.261510524,1.0
0.911510524,0.0
3.811510524,0.0
1.721510524,1.0
4.171510524,0.0
1.531510524,0.0
1.6615105239999999,0.0
2.701510524,0.0
5.001510524,0.0
5.991510524,0.0
1.251510524,0.0
4.181510524,0.0
1.241510524,0.0
2.291510524,0.0
5.601510524,0.0
2.801510524,0.0
6.301510524,0.0
1.261510524,0.0
5.341510524,0.0
4.841510524,1.0
6.241510524,0.0
1.941510524,0.0
1.591510524,1.0
2.491510524,1.0
3.621510524,0.0
6.431510524,0.0
1.871510524,0.0
5.821510524,1.0
2.831510524,0.0
3.591510524,0.0
1.561510524,0.0
3.821510524,1.0
7.0815105240000005,0.0
7.311510524,1.0
2.3215105240000002,0.0
2.121510524,0.0
2.941510524,0.0
5.161510524,1.0
6.411510524,0.0
3.691510524,0.0
3.951510524,0.0
3.351510524,0.0
4.891510524,1.0
6.941510524,0.0
2.001510524,1.0
3.211510524,1.0
2.0515105240000002,0.0
2.811510524,0.0
1.751510524,0.0
4.041510524,0.0
1.941510524,0.0
6.021510524,0.0
6.241510524,1.0
3.011510524,1.0
5.321510524,0.0
2.031510524,1.0
2.651510524,0.0
6.381510524,0.0
1.311510524,0.0
1.241510524,0.0
1.311510524,1.0
3.941510524,0.0
2.751510524,0.0
5.421510524,0.0
1.951510524,0.0
6.061510524,0.0
6.341510524,0.0
2.391510524,0.0
2.351510524,1.0
1.071510524,1.0
1.601510524,0.0
2.421510524,0.0
3.631510524,1.0
1.621510524,0.0
2.1315105240000003,0.0
1.331510524,1.0
4.171510524,1.0
4.551510524,0.0
3.271510524,1.0
3.531510524,0.0
2.511510524,1.0
4.351510524,0.0
1.601510524,0.0
3.211510524,0.0
1.101510524,1.0
1.621510524,1.0
1.541510524,0.0
1.771510524,1.0
4.501510524,1.0
2.231510524,1.0
3.111510524,1.0
4.441510524,0.0
1.461510524,1.0
5.131510524,0.0
2.241510524,0.0
5.921510524,0.0
1.461510524,0.0
0.941510524,0.0
2.941510524,0.0
5.061510524,0.0
1.571510524,0.0
1.591510524,1.0
2.3815105240000003,0.0
4.891510524,1.0
4.221510524,0.0
3.5515105240000002,0.0
1.6415105239999999,0.0
3.601510524,1.0
3.111510524,0.0
2.161510524,0.0
2.081510524,1.0
2.371510524,1.0
1.581510524,0.0
2.3615105240000003,0.0
2.411510524,1.0
2.431510524,0.0
7.551510524,0.0
4.521510524,0.0
7.391510524,0.0
2.041510524,1.0
1.771510524,1.0
2.3815105240000003,0.0
2.661510524,0.0
2.3215105240000002,0.0
3.091510524,0.0
5.001510524,0.0
3.441510524,1.0
1.741510524,1.0
5.541510524,0.0
2.891510524,1.0
5.621510524,0.0
4.841510524,0.0
2.871510524,0.0
7.911510524,0.0
2.561510524,0.0
6.811510524,0.0
4.611510524,0.0
2.271510524,0.0
2.621510524,0.0
1.831510524,0.0
4.031510524000001,0.0
6.761510524,0.0
2.601510524,1.0
0.9815105239999999,0.0
1.151510524,0.0
3.071510524,1.0
2.231510524,0.0
2.841510524,0.0
3.051510524,0.0
2.591510524,1.0
4.191510524,0.0
3.081510524,0.0
2.041510524,0.0
2.871510524,0.0
1.9015105239999999,0.0
1.941510524,0.0
1.941510524,0.0
3.921510524,0.0
2.251510524,1.0
4.881510524,1.0
6.301510524,0.0
0.8915105240000001,0.0
6.911510524,1.0
5.391510524,0.0
1.551510524,1.0
1.9115105239999999,0.0
2.351510524,0.0
3.331510524,0.0
1.241510524,0.0
3.431510524,0.0
1.551510524,0.0
4.361510524,1.0
3.341510524,0.0
2.821510524,0.0
4.501510524,0.0
2.951510524,0.0
1.4315105240000001,0.0
1.6715105239999999,0.0
1.501510524,1.0
2.691510524,1.0
2.081510524,0.0
5.741510524,1.0
6.741510524,0.0
3.661510524,1.0
2.101510524,0.0
3.051510524,0.0
1.341510524,0.0
3.271510524,0.0
1.441510524,0.0
6.3315105240000005,0.0
1.471510524,1.0
2.441510524,1.0
1.361510524,0.0
3.001510524,0.0
1.231510524,0.0
3.721510524,0.0
3.681510524,0.0
1.6715105239999999,0.0
2.241510524,1.0
7.8315105240000005,0.0
6.701510524,0.0
4.731510524,0.0
6.421510524,0.0
4.471510524,0.0
1.771510524,0.0
2.201510524,0.0
5.201510524,0.0
4.101510524,0.0
2.291510524,0.0
2.3415105240000003,0.0
2.201510524,0.0
2.711510524,0.0
2.861510524,0.0
3.961510524,1.0
4.711510524,0.0
3.211510524,0.0
3.071510524,0.0
4.761510524,1.0
2.261510524,0.0
3.131510524,1.0
0.911510524,0.0
3.381510524,0.0
3.651510524,0.0
3.231510524,0.0
1.511510524,0.0
2.811510524,0.0
1.9215105239999999,1.0
1.391510524,1.0
1.821510524,1.0
3.401510524,1.0
1.411510524,0.0
3.671510524,0.0
1.721510524,0.0
1.551510524,0.0
7.8715105240000005,0.0
1.831510524,0.0
2.491510524,0.0
2.081510524,0.0
6.451510524,1.0
6.091510524,1.0
3.231510524,0.0
3.631510524,0.0
6.161510524,0.0
2.191510524,0.0
2.491510524,0.0
1.371510524,0.0
1.131510524,0.0
4.741510524,0.0
1.611510524,0.0
1.151510524,0.0
5.351510524,0.0
4.441510524,0.0
5.151510524,1.0
2.841510524,0.0
1.691510524,0.0
3.091510524,0.0
4.771510524,0.0
2.811510524,0.0
2.311510524,0.0
1.621510524,1.0
2.3015105240000002,0.0
1.8915105239999999,0.0
5.071510524,0.0
1.6515105239999999,0.0
1.9215105239999999,1.0
5.311510524,0.0
7.961510524,0.0
3.5515105240000002,0.0
1.531510524,1.0
5.971510524,0.0
6.701510524,0.0
2.881510524,0.0
4.531510524,0.0
1.971510524,0.0
6.351510524,1.0
4.021510524,0.0
3.211510524,0.0
3.471510524,0.0
2.851510524,0.0
5.381510524,0.0
4.751510524,0.0
2.281510524,0.0
6.691510524,0.0
3.381510524,1.0
1.171510524,0.0
2.1115105240000003,0.0
2.941510524,1.0
7.111510524,1.0
2.741510524,0.0
2.511510524,0.0
4.601510524,0.0
5.011510524,0.0
2.121510524,0.0
1.331510524,0.0
1.701510524,0.0
2.901510524,0.0
2.641510524,0.0
3.311510524,0.0
3.151510524,0.0
1.501510524,0.0
5.351510524,0.0
4.541510524,0.0
2.501510524,0.0
2.181510524,0.0
1.381510524,1.0
7.001510524,1.0
2.391510524,1.0
4.951510524,1.0
1.781510524,0.0
6.421510524,1.0
3.401510524,1.0
2.501510524,0.0
2.681510524,0.0
6.711510524,1.0
5.901510524,0.0
1.351510524,0.0
2.931510524,0.0
1.1815105240000001,1.0
2.1115105240000003,0.0
2.461510524,1.0
4.491510524,0.0
1.771510524,1.0
1.361510524,0.0
5.411510524,0.0
1.061510524,0.0
6.281510524,0.0
1.241510524,0.0
3.291510524,0.0
2.231510524,1.0
6.251510524,0.0
2.761510524,0.0
1.991510524,0.0
3.001510524,0.0
1.871510524,0.0
1.751510524,1.0
2.351510524,0.0
3.211510524,0.0
3.461510524,0.0
3.121510524,1.0
2.031510524,0.0
1.9015105239999999,0.0
0.9615105239999999,1.0
1.841510524,0.0
2.001510524,0.0
2.241510524,0.0
6.811510524,0.0
4.691510524,0.0
1.581510524,1.0
4.091510524,1.0
3.991510524,0.0
2.431510524,0.0
0.991510524,0.0
0.751510524,1.0
3.751510524,1.0
3.751510524,0.0
1.601510524,0.0
2.761510524,0.0
5.861510524,0.0
5.481510524,0.0
2.571510524,0.0
2.831510524,0.0
2.571510524,0.0
4.431510524,0.0
2.421510524,1.0
5.181510524,1.0
1.8915105239999999,0.0
1.031510524,0.0
3.461510524,0.0
3.451510524,1.0
6.321510524,1.0
6.031510524,0.0
2.511510524,0.0
5.151510524,0.0
7.591510524,1.0
1.561510524,1.0
2.551510524,0.0
2.281510524,1.0
1.161510524,0.0
2.121510524,0.0
4.151510524,0.0
5.971510524,1.0
1.741510524,0.0
5.921510524,1.0
1.581510524,1.0
7.571510524,0.0
2.621510524,1.0
4.011510524,0.0
1.701510524,0.0
1.551510524,0.0
1.321510524,0.0
7.611510524,0.0
1.281510524,0.0
4.621510524,1.0
1.741510524,1.0
1.391510524,0.0
3.301510524,1.0
1.601510524,1.0
2.501510524,0.0
3.751510524,0.0
3.211510524,0.0
3.241510524,0.0
1.871510524,1.0
3.051510524,0.0
5.861510524,1.0
5.591510524,0.0
2.001510524,0.0
6.511510524,0.0
1.301510524,0.0
3.261510524,0.0
2.231510524,0.0
2.451510524,0.0
5.541510524,0.0
3.841510524,0.0
4.011510524,0.0
7.001510524,0.0
1.791510524,0.0
0.9715105239999999,0.0
3.821510524,0.0
1.491510524,0.0
3.971510524,0.0
1.9015105239999999,1.0
4.421510524,0.0
1.111510524,0.0
6.451510524,0.0
7.451510524,0.0
2.451510524,0.0
1.111510524,0.0
3.421510524,0.0
7.961510524,0.0
3.151510524,0.0
1.681510524,0.0
4.661510524,0.0
2.3415105240000003,0.0
5.871510524,0.0
3.951510524,1.0
3.111510524,0.0
2.121510524,0.0
4.211510524,0.0
2.801510524,0.0
0.9715105239999999,0.0
1.171510524,1.0
6.641510524,0.0
4.271510524,1.0
1.601510524,0.0
1.791510524,0.0
2.251510524,0.0
2.731510524,0.0
4.391510524,0.0
2.871510524,0.0
2.041510524,0.0
2.721510524,0.0
1.991510524,0.0
2.031510524,0.0
1.491510524,0.0
1.491510524,0.0
1.751510524,1.0
4.361510524,0.0
3.221510524,1.0
3.591510524,0.0
1.981510524,0.0
1.701510524,0.0
5.021510524,1.0
7.511510524,1.0
3.031510524,0.0
1.571510524,0.0
2.421510524,0.0
3.171510524,0.0
1.631510524,1.0
2.871510524,0.0
2.871510524,0.0
1.091510524,0.0
1.391510524,0.0
1.851510524,0.0
6.531510524,1.0
4.491510524,0.0
2.541510524,1.0
3.241510524,0.0
1.761510524,0.0
1.071510524,0.0
3.031510524,0.0
2.001510524,0.0
2.271510524,0.0
2.1115105240000003,0.0
3.821510524,0.0
2.581510524,0.0
2.3215105240000002,1.0
2.561510524,1.0
5.741510524,0.0
2.041510524,1.0
2.541510524,1.0
1.721510524,0.0
5.361510524,0.0
3.991510524,0.0
2.541510524,0.0
1.231510524,1.0
2.931510524,0.0
5.141510524,1.0
4.441510524,0.0
2.3415105240000003,1.0
1.331510524,0.0
1.9215105239999999,0.0
3.261510524,1.0
2.681510524,1.0
4.711510524,0.0
1.551510524,0.0
1.531510524,0.0
4.201510524000001,0.0
3.271510524,1.0
3.031510524,0.0
6.941510524,0.0
4.8315105240000005,0.0
1.531510524,1.0
2.0515105240000002,0.0
3.681510524,0.0
4.011510524,0.0
3.651510524,0.0
5.301510524,1.0
4.171510524,0.0
2.501510524,0.0
2.471510524,1.0
4.701510524,0.0
3.121510524,0.0
1.021510524,0.0
2.041510524,0.0
1.871510524,0.0
3.791510524,0.0
3.281510524,1.0
1.321510524,0.0
4.051510524,0.0
2.411510524,1.0
3.671510524,1.0
4.291510524,0.0
4.221510524,1.0
1.841510524,0.0
2.731510524,0.0
1.391510524,0.0
6.031510524,0.0
5.821510524,0.0
1.421510524,1.0
1.6615105239999999,1.0
5.321510524,0.0
6.891510524,0.0
4.621510524,1.0
2.231510524,1.0
7.751510524,0.0
4.8315105240000005,0.0
1.781510524,1.0
1.801510524,0.0
2.861510524,0.0
3.271510524,0.0
3.531510524,0.0
2.781510524,1.0
3.871510524,1.0
1.791510524,0.0
7.151510524,1.0
4.3715105240000005,0.0
1.611510524,0.0
2.661510524,0.0
1.711510524,0.0
3.591510524,0.0
2.251510524,0.0
2.351510524,0.0
2.041510524,0.0
3.931510524,0.0
3.971510524,0.0
2.471510524,1.0
4.0815105240000005,0.0
5.981510524,0.0
3.381510524,0.0
1.991510524,0.0
2.601510524,1.0
3.991510524,1.0
2.651510524,0.0
1.351510524,0.0
4.541510524,0.0
3.371510524,0.0
2.201510524,0.0
1.241510524,0.0
2.391510524,0.0
4.151510524,0.0
3.631510524,0.0
3.351510524,0.0
2.661510524,0.0
3.211510524,0.0
2.0715105240000002,0.0
3.731510524,1.0
1.9115105239999999,1.0
6.471510524,0.0
5.031510524,1.0
4.311510524,0.0
3.291510524,0.0
1.521510524,0.0
4.951510524,1.0
2.491510524,1.0
3.401510524,1.0
5.271510524,0.0
3.621510524,1.0
2.281510524,0.0
1.871510524,0.0
4.531510524,1.0
3.301510524,0.0
4.921510524,1.0
5.841510524,1.0
1.151510524,0.0
1.611510524,1.0
1.441510524,0.0
4.731510524,1.0
2.1115105240000003,0.0
3.361510524,0.0
2.921510524,1.0
7.911510524,0.0
1.971510524,1.0
1.8915105239999999,0.0
4.281510524000001,0.0
4.1215105240000005,0.0
3.321510524,1.0
3.221510524,0.0
2.481510524,0.0
2.811510524,0.0
5.301510524,1.0
7.101510524,0.0
7.111510524,0.0
2.3215105240000002,0.0
4.171510524,0.0
3.861510524,0.0
4.481510524,0.0
2.591510524,0.0
2.1315105240000003,1.0
2.251510524,1.0
7.351510524,0.0
5.711510524,1.0
5.731510524,0.0
2.281510524,0.0
1.701510524,0.0
0.901510524,1.0
3.051510524,0.0
4.031510524000001,0.0
5.781510524,0.0
3.901510524,0.0
3.621510524,0.0
6.111510524,0.0
6.551510524,1.0
1.441510524,1.0
2.621510524,0.0
4.231510524,0.0
0.951510524,0.0
2.841510524,0.0
2.231510524,1.0
2.081510524,0.0
7.001510524,0.0
1.441510524,0.0
3.591510524,0.0
1.9115105239999999,0.0
1.721510524,1.0
5.291510524,1.0
3.721510524,0.0
2.081510524,0.0
7.561510524,0.0
2.551510524,0.0
2.371510524,1.0
2.591510524,0.0
6.561510524,0.0
5.701510524,0.0
0.661510524,0.0
0.991510524,1.0
5.941510524,0.0
1.471510524,0.0
7.391510524,0.0
2.611510524,1.0
2.441510524,0.0
2.0715105240000002,0.0
2.541510524,0.0
1.791510524,0.0
7.091510524,1.0
3.531510524,0.0
4.191510524,1.0
1.8915105239999999,1.0
1.591510524,1.0
6.941510524,0.0
2.161510524,1.0
1.111510524,0.0
5.221510524,0.0
1.981510524,0.0
1.131510524,0.0
6.531510524,0.0
2.281510524,0.0
1.981510524,0.0
2.931510524,0.0
3.161510524,0.0
3.521510524,0.0
2.711510524,1.0
2.081510524,0.0
2.761510524,0.0
6.761510524,0.0
5.591510524,1.0
5.511510524,0.0
2.3615105240000003,0.0
3.481510524,0.0
2.3615105240000003,0.0
4.311510524,0.0
1.9015105239999999,0.0
4.041510524,0.0
6.051510524,0.0
7.821510524,1.0
2.241510524,1.0
1.1815105240000001,0.0
4.851510524,0.0
5.011510524,0.0
2.661510524,0.0
1.221510524,0.0
1.261510524,0.0
4.301510524,0.0
1.311510524,0.0
2.171510524,1.0
6.961510524,1.0
2.961510524,1.0
4.221510524,0.0
4.511510524,1.0
3.901510524,0.0
3.261510524,1.0
6.531510524,1.0
4.231510524,1.0
1.771510524,0.0
3.901510524,0.0
3.891510524,0.0
5.241510524,0.0
3.211510524,0.0
2.551510524,0.0
1.9215105239999999,0.0
2.0715105240000002,1.0
4.3315105240000005,0.0
4.531510524,0.0
5.111510524,0.0
3.481510524,0.0
6.661510524,0.0
2.3215105240000002,0.0
4.291510524,0.0
1.221510524,0.0
3.101510524,0.0
1.701510524,1.0
5.681510524,1.0
4.771510524,0.0
2.201510524,0.0
2.181510524,0.0
1.711510524,1.0
4.761510524,0.0
2.211510524,0.0
2.801510524,1.0
3.301510524,1.0
1.031510524,1.0
2.0715105240000002,1.0
2.421510524,0.0
2.881510524,0.0
3.141510524,1.0
5.471510524,0.0
6.051510524,0.0
3.5515105240000002,1.0
4.871510524,0.0
2.951510524,0.0
7.221510524,0.0
6.701510524,0.0
