RT1,R
1.241510524,0.0
4.171510524,0.0
4.131510524,0.0
3.321510524,0.0
0.941510524,0.0
5.851510524,1.0
2.311510524,0.0
3.861510524,0.0
3.241510524,0.0
2.731510524,0.0
1.011510524,0.0
5.501510524,0.0
2.741510524,0.0
6.241510524,0.0
6.801510524,0.0
2.3015105240000002,0.0
1.861510524,0.0
1.731510524,0.0
2.641510524,0.0
2.351510524,0.0
5.391510524,0.0
3.401510524,0.0
1.781510524,0.0
1.951510524,1.0
1.6415105239999999,0.0
1.4315105240000001,0.0
6.101510524,0.0
1.301510524,0.0
3.431510524,0.0
3.831510524,0.0
1.1815105240000001,0.0
1.541510524,0.0
2.691510524,0.0
2.571510524,0.0
7.701510524,0.0
2.281510524,0.0
1.6715105239999999,0.0
6.261510524,1.0
2.421510524,0.0
3.641510524,0.0
3.761510524,0.0
6.051510524,0.0
2.541510524,0.0
2.141510524,0.0
4.211510524,0.0
1.851510524,0.0
3.711510524,0.0
2.201510524,0.0
1.601510524,0.0
2.211510524,0.0
3.201510524,0.0
2.951510524,0.0
2.971510524,1.0
1.961510524,0.0
3.541510524,0.0
2.451510524,0.0
2.991510524,1.0
7.451510524,0.0
2.751510524,0.0
2.3015105240000002,0.0
