RT,R
1.58,1.0
1.51,0.0
2.63,0.0
5.16,0.0
1.38,1.0
1.31,1.0
1.11,0.0
1.78,0.0
2.3200000000000003,0.0
1.6300000000000001,0.0
2.99,1.0
1.7000000000000002,0.0
1.06,1.0
1.96,0.0
1.9500000000000002,0.0
3.8,0.0
1.78,1.0
2.31,0.0
2.1100000000000003,0.0
1.37,0.0
2.18,0.0
1.73,0.0
1.3900000000000001,0.0
4.99,0.0
1.56,1.0
0.89,1.0
1.44,0.0
0.98,1.0
2.0,0.0
1.62,1.0
1.67,0.0
2.1100000000000003,0.0
4.33,0.0
0.98,1.0
2.8600000000000003,0.0
2.7,0.0
1.05,1.0
5.67,1.0
1.52,1.0
1.0,1.0
2.99,1.0
1.9300000000000002,1.0
1.8,1.0
1.44,1.0
3.04,0.0
1.4,1.0
1.12,1.0
1.04,1.0
3.13,1.0
2.5700000000000003,0.0
1.87,0.0
3.63,0.0
2.27,1.0
1.1400000000000001,1.0
2.01,1.0
2.62,0.0
3.38,1.0
1.8900000000000001,0.0
1.5,0.0
1.36,1.0
1.71,0.0
1.07,0.0
2.8499999999999996,0.0
1.7400000000000002,0.0
0.89,1.0
1.85,0.0
1.27,0.0
2.51,0.0
1.1600000000000001,1.0
1.22,0.0
4.51,0.0
5.42,1.0
1.1800000000000002,1.0
3.0,0.0
3.1500000000000004,0.0
2.3600000000000003,0.0
1.59,1.0
1.08,1.0
3.2199999999999998,0.0
2.9000000000000004,1.0
3.9299999999999997,1.0
1.58,0.0
1.23,0.0
1.6,0.0
1.6600000000000001,0.0
1.8800000000000001,1.0
1.67,0.0
3.3,0.0
1.11,0.0
1.36,1.0
3.46,1.0
3.01,0.0
4.92,1.0
2.62,1.0
1.32,1.0
1.11,0.0
4.29,0.0
10.420000000000002,0.0
2.0300000000000002,0.0
1.17,1.0
0.8400000000000001,1.0
1.4700000000000002,1.0
1.11,1.0
2.8100000000000005,0.0
1.51,1.0
2.21,0.0
1.26,1.0
6.15,0.0
2.77,1.0
1.77,0.0
1.3900000000000001,0.0
0.91,1.0
2.1900000000000004,0.0
3.34,0.0
1.87,0.0
1.84,0.0
5.63,0.0
1.58,0.0
1.9500000000000002,0.0
0.9600000000000001,1.0
1.35,1.0
2.1,1.0
1.44,0.0
3.2800000000000002,1.0
1.11,1.0
0.9500000000000001,1.0
2.0,1.0
2.62,0.0
2.12,0.0
1.53,0.0
3.63,0.0
1.42,1.0
1.4900000000000002,0.0
1.79,1.0
1.4100000000000001,0.0
2.6100000000000003,0.0
2.18,0.0
4.79,0.0
3.9699999999999998,0.0
2.25,0.0
1.87,0.0
3.38,0.0
2.29,1.0
1.17,1.0
1.76,0.0
1.4100000000000001,0.0
2.05,0.0
1.46,1.0
1.37,0.0
4.25,0.0
1.67,0.0
2.29,1.0
3.84,0.0
1.5,0.0
2.14,0.0
1.86,1.0
1.3900000000000001,0.0
1.37,0.0
2.49,0.0
1.59,1.0
5.42,0.0
1.08,1.0
2.38,0.0
2.9400000000000004,0.0
2.48,1.0
1.07,1.0
3.3899999999999997,0.0
0.98,1.0
0.99,1.0
1.9100000000000001,1.0
1.9200000000000002,0.0
3.76,1.0
2.63,0.0
2.4400000000000004,0.0
1.83,0.0
3.7800000000000002,0.0
4.0600000000000005,1.0
1.11,1.0
1.73,0.0
1.3900000000000001,1.0
2.49,0.0
1.37,1.0
2.63,0.0
1.77,0.0
2.41,0.0
4.0600000000000005,0.0
1.22,1.0
1.77,0.0
0.91,1.0
1.1600000000000001,0.0
1.1800000000000002,0.0
4.15,0.0
0.92,1.0
1.61,0.0
1.34,1.0
2.43,1.0
2.09,0.0
2.09,1.0
3.3200000000000003,0.0
1.1600000000000001,0.0
1.29,0.0
1.32,0.0
2.18,0.0
1.04,1.0
1.19,1.0
1.9300000000000002,1.0
1.7200000000000002,0.0
3.37,0.0
1.62,0.0
1.38,1.0
2.42,0.0
2.0700000000000003,0.0
1.85,0.0
2.42,0.0
2.99,0.0
1.32,1.0
1.36,1.0
3.92,1.0
2.88,0.0
1.1600000000000001,1.0
2.73,0.0
1.46,0.0
1.04,0.0
2.7,1.0
1.6800000000000002,1.0
2.1,0.0
1.9500000000000002,1.0
2.13,1.0
1.22,1.0
1.55,0.0
1.21,1.0
2.12,1.0
2.12,0.0
0.88,1.0
1.03,1.0
2.3,0.0
2.05,1.0
1.55,0.0
2.31,0.0
4.5200000000000005,0.0
3.08,1.0
1.24,1.0
0.99,1.0
1.36,1.0
3.9000000000000004,0.0
2.63,0.0
2.9400000000000004,0.0
1.71,0.0
2.41,0.0
1.53,0.0
1.9400000000000002,0.0
6.82,0.0
3.01,1.0
1.9200000000000002,0.0
1.84,0.0
1.83,0.0
2.12,1.0
2.4400000000000004,1.0
1.98,0.0
0.9600000000000001,1.0
2.5,0.0
4.81,0.0
2.29,0.0
2.96,0.0
1.6400000000000001,1.0
2.84,0.0
2.29,0.0
2.26,0.0
2.1500000000000004,0.0
1.57,0.0
1.1800000000000002,1.0
1.67,0.0
1.56,1.0
1.62,1.0
1.48,1.0
1.4900000000000002,0.0
1.28,0.0
1.01,1.0
2.17,0.0
2.51,0.0
1.62,0.0
7.46,0.0
2.6500000000000004,0.0
3.7300000000000004,0.0
1.62,0.0
1.3900000000000001,1.0
3.7199999999999998,0.0
1.54,0.0
3.51,1.0
1.33,1.0
1.8,0.0
3.4000000000000004,0.0
1.84,1.0
2.31,0.0
4.19,0.0
1.1,0.0
2.95,0.0
2.43,0.0
2.96,1.0
4.73,1.0
2.14,1.0
1.67,0.0
1.07,0.0
3.9299999999999997,0.0
1.59,0.0
2.3200000000000003,0.0
1.65,0.0
1.6800000000000002,0.0
2.0700000000000003,0.0
2.73,0.0
6.92,0.0
1.6400000000000001,0.0
1.71,0.0
1.48,0.0
1.21,0.0
2.7,0.0
4.19,0.0
2.09,1.0
2.2199999999999998,0.0
1.79,0.0
1.81,0.0
1.38,1.0
1.36,1.0
2.71,1.0
2.04,1.0
1.46,0.0
1.8900000000000001,0.0
0.9600000000000001,1.0
1.4300000000000002,1.0
1.34,0.0
1.29,1.0
2.5300000000000002,1.0
2.67,0.0
0.9400000000000001,1.0
3.91,0.0
3.83,0.0
1.77,0.0
5.02,0.0
1.52,0.0
1.5,0.0
3.2,0.0
1.22,0.0
3.29,0.0
1.9100000000000001,0.0
2.95,0.0
2.16,0.0
1.67,0.0
1.6800000000000002,0.0
1.76,1.0
3.1399999999999997,0.0
2.06,0.0
2.95,1.0
1.62,1.0
1.08,1.0
1.1300000000000001,1.0
1.8,1.0
1.22,1.0
2.05,0.0
2.71,1.0
1.62,0.0
1.62,0.0
0.9400000000000001,1.0
2.76,0.0
1.8800000000000001,0.0
4.12,0.0
1.22,1.0
3.41,1.0
1.38,0.0
1.3900000000000001,0.0
1.24,0.0
2.5,0.0
2.16,1.0
1.1800000000000002,1.0
1.9400000000000002,0.0
1.1300000000000001,1.0
1.4,0.0
1.79,0.0
3.1500000000000004,0.0
1.26,1.0
0.9600000000000001,1.0
0.9700000000000001,1.0
1.06,1.0
1.1800000000000002,0.0
2.04,1.0
2.6100000000000003,1.0
1.71,0.0
4.23,0.0
1.27,1.0
2.5300000000000002,1.0
1.34,1.0
1.28,1.0
1.9100000000000001,0.0
1.9200000000000002,1.0
0.9700000000000001,1.0
1.84,0.0
1.5,1.0
2.4400000000000004,0.0
4.44,0.0
1.8800000000000001,0.0
0.8600000000000001,1.0
4.22,1.0
1.48,1.0
1.96,0.0
1.9000000000000001,0.0
1.81,1.0
1.81,0.0
3.16,0.0
1.58,0.0
1.36,0.0
1.6,1.0
1.82,1.0
1.12,0.0
1.7000000000000002,0.0
5.52,0.0
2.8899999999999997,0.0
1.0,1.0
2.3200000000000003,1.0
3.05,0.0
1.77,1.0
2.9800000000000004,0.0
2.59,1.0
2.41,0.0
2.62,0.0
2.29,0.0
0.9700000000000001,1.0
2.68,1.0
2.9000000000000004,0.0
1.8,0.0
1.65,0.0
3.83,0.0
2.62,1.0
1.38,0.0
1.7000000000000002,0.0
1.06,0.0
0.9500000000000001,1.0
3.01,0.0
1.25,0.0
1.98,0.0
1.96,0.0
1.12,1.0
1.7000000000000002,0.0
1.4,1.0
1.4500000000000002,0.0
2.0700000000000003,0.0
1.73,0.0
1.9300000000000002,0.0
2.0300000000000002,1.0
1.33,0.0
1.79,0.0
1.52,1.0
3.3600000000000003,0.0
1.62,1.0
2.41,0.0
1.6600000000000001,0.0
1.28,1.0
3.4400000000000004,0.0
1.55,1.0
1.77,0.0
1.05,1.0
0.9600000000000001,1.0
1.55,1.0
1.71,0.0
1.38,0.0
1.26,1.0
2.37,0.0
1.6800000000000002,0.0
1.97,0.0
3.59,0.0
4.71,0.0
4.04,0.0
4.63,1.0
3.5700000000000003,0.0
1.1,1.0
2.16,0.0
4.13,1.0
4.83,0.0
2.3200000000000003,0.0
1.42,0.0
4.03,1.0
2.23,1.0
5.95,0.0
1.04,1.0
2.04,0.0
1.58,0.0
2.23,0.0
1.53,0.0
1.79,0.0
1.06,1.0
1.1,1.0
1.08,1.0
3.2700000000000005,0.0
1.01,1.0
1.3,1.0
2.25,1.0
2.4699999999999998,0.0
3.24,0.0
1.08,1.0
0.98,1.0
1.2000000000000002,0.0
1.67,0.0
2.0300000000000002,1.0
1.4500000000000002,0.0
3.3500000000000005,0.0
4.5200000000000005,1.0
4.5600000000000005,0.0
1.79,0.0
1.11,1.0
1.06,1.0
2.31,0.0
2.54,0.0
3.24,0.0
1.09,1.0
